VAR1,ApotekNr,Navn,TypeID,Adresse,PostNr,Startdato,Slutdato,amt,Kommune,Region,Adresse_v2,latitudes,longitudes,Stdato,Sldato,Styear,Slyear,dummy,geometry,Year,GNS_OMS,GNS_MED_PROFIT,ALDER,d65,d17,samlet_ind,Besk,Besk1864,DK
397,332,København Sydhavnsap,13,Borgbjergsvej 15,2450,"01Jan1933 0:00:00,000",,1084,101,1084,"Borgbjergsvej 15, 2450 Denmark",55.651462,12.537598,1933-01-01,,1933,2025,2008,POINT (12.537598 55.651462),2015,25170231.333,9069587.0756,35.38,0.1031360263,0.1751163605,203077.09733,0.5371755015,0.714953568,0.7635259743
399,199,København Sønderbro,6,Amagerbrogade 158,2300,"01Jan1902 0:00:00,000",,1084,101,1084,"Amagerbrogade 158, 2300 Denmark",55.654731,12.610199,1902-01-01,,1902,2025,2008,POINT (12.610199 55.654731),2015,25170231.333,9069587.0756,35.38,0.1031360263,0.1751163605,203077.09733,0.5371755015,0.714953568,0.7635259743
400,318,København Trekroner,6,Vigerslev Allé 38,2500,"01Jan1925 0:00:00,000",,1084,101,1084,"Vigerslev Allé 38, 2500 Denmark",55.661884,12.518641,1925-01-01,,1925,2025,2008,POINT (12.518641 55.661884),2015,25170231.333,9069587.0756,35.38,0.1031360263,0.1751163605,203077.09733,0.5371755015,0.714953568,0.7635259743
401,031,København Vaisenhus,13,Landemærket 3-5,1119,01-01-1753 00:00,,1084,101,1084,"Landemærket 3-5, 1119 Denmark",55.6827864,12.5776629,1753-01-01,,1753,2025,2008,POINT (12.5776629 55.6827864),2015,25170231.333,9069587.0756,35.38,0.1031360263,0.1751163605,203077.09733,0.5371755015,0.714953568,0.7635259743
402,197,København Valby Apot,6,Valby Langgade 49,2500,"01Jan1902 0:00:00,000",,1084,101,1084,"Valby Langgade 49, 2500 Denmark",55.666526,12.516945,1902-01-01,,1902,2025,2008,POINT (12.516945 55.666526),2015,25170231.333,9069587.0756,35.38,0.1031360263,0.1751163605,203077.09733,0.5371755015,0.714953568,0.7635259743
406,202,København Øresunds,6,Østerbrogade 151,2100,"01Jan1902 0:00:00,000",,1084,101,1084,"Østerbrogade 151, 2100 Denmark",55.714092,12.577286,1902-01-01,,1902,2025,2008,POINT (12.577286 55.714092),2015,25170231.333,9069587.0756,35.38,0.1031360263,0.1751163605,203077.09733,0.5371755015,0.714953568,0.7635259743
408,320,København Østerbro,13,Østerbrogade 101,2100,"01Jan1929 0:00:00,000",,1084,101,1084,"Østerbrogade 101, 2100 Denmark",55.709432,12.577196,1929-01-01,,1929,2025,2008,POINT (12.577196 55.709432),2015,25170231.333,9069587.0756,35.38,0.1031360263,0.1751163605,203077.09733,0.5371755015,0.714953568,0.7635259743
700,343,Vanløse Løve Apotek,6,"Vanløse Torv 1, st. 123",2720,"01Jan1937 0:00:00,000",,1084,101,1084,"Vanløse Torv 1, st. 123, 2720 Denmark",55.708988,12.583695,1937-01-01,,1937,2025,2008,POINT (12.583695 55.708988),2015,25170231.333,9069587.0756,35.38,0.1031360263,0.1751163605,203077.09733,0.5371755015,0.714953568,0.7635259743
147,111,Frederiksberg Apotek,6,Gammel Kongevej 162,1850,01-01-1867 00:00,,1084,147,1084,"Gammel Kongevej 162, 1850 Denmark",55.6760515,12.5432969,1867-01-01,,1867,2025,2008,POINT (12.5432969 55.6760515),2015,28640665.74,10270420.422,38.84,0.1660110451,0.1748260449,230605.31073,0.5240325885,0.7483735449,0.8184354049
149,184,Frederiksberg Apoteke,6,Godthåbsvej 4,2000,"12Nov1901 0:00:00,000",,1084,147,1084,"Godthåbsvej 4, 2000 Denmark",55.685538,12.538161,1901-11-12,,1901,2025,2008,POINT (12.538161 55.685538),2015,28640665.74,10270420.422,38.84,0.1660110451,0.1748260449,230605.31073,0.5240325885,0.7483735449,0.8184354049
150,327,Frederiksberg Dalgas,6,Dalgas Boulevard 91,2000,01.03.1994,,1084,147,1084,"Dalgas Boulevard 91, 2000 Denmark",55.681633,12.510563,1994-01-03,,1994,2025,2008,POINT (12.510563 55.681633),2015,28640665.74,10270420.422,38.84,0.1660110451,0.1748260449,230605.31073,0.5240325885,0.7483735449,0.8184354049
152,262,Frederiksberg Gl. Kon,13,Gammel Kongevej 76,1850,"01Jan1916 0:00:00,000",,1084,147,1084,"Gammel Kongevej 76, 1850 Denmark",55.674336,12.551359,1916-01-01,,1916,2025,2008,POINT (12.551359 55.674336),2015,28640665.74,10270420.422,38.84,0.1660110451,0.1748260449,230605.31073,0.5240325885,0.7483735449,0.8184354049
154,185,Frederiksberg Smalleg,6,Smallegade 46,2000,"01Jan1900 0:00:00,000",,1084,147,1084,"Smallegade 46, 2000 Denmark",55.679679,12.523739,1900-01-01,,1900,2025,2008,POINT (12.523739 55.679679),2015,28640665.74,10270420.422,38.84,0.1660110451,0.1748260449,230605.31073,0.5240325885,0.7483735449,0.8184354049
26,225-2,Apoteket i Ballerup C,7,"Ballerup-Centret 2, 1. 3",2750,"26Oct2015 0:00:00,000",,1084,151,1084,"Ballerup-Centret 2, 1. 3, 2750 Denmark",55.7316,12.3633,2015-10-26,,2015,2025,2015,POINT (12.3633 55.7316),2015,19894295.25,7154487.87,41.36,0.2063910086,0.2164482415,185774.18525,0.4603171304,0.7415835524,0.8532596272
