VAR1,ApotekNr,Navn,TypeID,Adresse,PostNr,Startdato,Slutdato,amt,Kommune,Region,Adresse_v2,latitudes,longitudes,Stdato,Sldato,Styear,Slyear,dummy,geometry,Year,GNS_OMS,GNS_MED_PROFIT,ALDER,samlet_ind
164,024-1,Glamsbjerg Apoteksuds,8,Søndergade 26,5620,18.07.2008,01-MAY-2017,1083,420,1083,"Søndergade 26, 5620 Denmark",55.277139,10.10635,2008-07-18,2017-05-01,2008,2017,2008,POINT (10.10635 55.277139),2013,12487938.096,4003260.438,42.51,158027.43363
276,024-1,Haarby Apotek,7,Algade 33,5683,01.05.1994,,1083,420,1083,"Algade 33, 5683 Denmark",55.22332,10.124086,1994-01-05,,1994,2025,2008,POINT (10.124086 55.22331999999999),2013,12487938.096,4003260.438,42.51,158027.43363
669,189-A,Vissenbjerg Apoteksud,8,Østergade 11,5492,"01Jan2009 0:00:00,000",18-SEP-2017,1083,420,1083,"Østergade 11, 5492 Denmark",55.385161,10.13666,2009-01-01,2017-09-18,2009,2017,2009,POINT (10.13666 55.385161),2013,12487938.096,4003260.438,42.51,158027.43363
729,189-1,Aarup Apotek,7,Bredgade 60,5560,"01Jan2009 0:00:00,000",,1083,420,1083,"Bredgade 60, 5560 Denmark",55.37892,10.0475,2009-01-01,,2009,2025,2009,POINT (10.0475 55.37891999999999),2013,12487938.096,4003260.438,42.51,158027.43363
132,152-A,Ferritslev Apoteksuds,8,Ørbækvej 883,5863,"01Sep2013 0:00:00,000",02-MAY-2016,1083,430,1083,"Ørbækvej 883, 5863 Denmark",55.308372,10.584103,2013-09-01,2016-05-02,2013,2016,2013,POINT (10.584103 55.308372),2013,25117176.95,7980940.73,43.13,153463.67551
158,034,Faaborg Løve Apotek,6,Herregårdscentret 6,5600,01-01-1753 00:00,,1083,430,1083,"Herregårdscentret 6, 5600 Denmark",55.100625,10.240043,1753-01-01,,1753,2025,2008,POINT (10.240043 55.100625),2013,25117176.95,7980940.73,43.13,153463.67551
476,091,Ringe Apotek,13,Torvet 5,5750,01-01-1842 00:00,,1083,430,1083,"Torvet 5, 5750 Denmark",55.237205,10.47977,1842-01-01,,1842,2025,2008,POINT (10.47977 55.237205),2013,25117176.95,7980940.73,43.13,153463.67551
302,052,Kerteminde Apotek,6,Langegade 37,5300,01-01-1796 00:00,,1083,440,1083,"Langegade 37, 5300 Denmark",55.45269,10.6593833,1796-01-01,,1796,2025,2008,POINT (10.6593833 55.45269),2013,12022463.4,3829459.37,43.17,157664.67499
360,152,Langeskov Apotek,6,Langeskov Centret 27,5550,01-01-1891 00:00,,1083,440,1083,"Langeskov Centret 27, 5550 Denmark",55.360559,10.587606,1891-01-01,,1891,2025,2008,POINT (10.587606 55.36055899999999),2013,12022463.4,3829459.37,43.17,157664.67499
409,052-A,Munkebo Apoteksudsalg,8,Bycentret 204,5330,01.01.1992,,1083,440,1083,"Bycentret 204, 5330 Denmark",55.459958,10.559866,1992-01-01,,1992,2025,2008,POINT (10.559866 55.45995799999999),2013,12022463.4,3829459.37,43.17,157664.67499
427,316,Nyborg Apotek,6,Kongegade 8,5800,"01Jan1924 0:00:00,000",,1083,450,1083,"Kongegade 8, 5800 Denmark",55.311506,10.790021,1924-01-01,,1924,2025,2008,POINT (10.790021 55.31150600000001),2013,15323874.3,4855296.89,43.07,150848.65616
