,GNS_OMS,GNS_MED_PROFIT,ALDER,d65,d17,samlet_ind,Besk,Besk1864,DK,antal_apo,Kommune_y,Kode,Befolkning,År
179,22996293.937,8298025.98,43.05,0.21937899289999999,0.1977055712,161392.01337,0.44425698939999997,0.6910405904000001,0.9249931139,4,Svendborg,479,57988,2015
183,15726939.1,5757499.69,42.94,0.2134616697,0.2088879787,163383.97076,0.4675133507,0.7270678920999999,0.9376626043999999,3,Nordfyns,480,29030,2015
186,,,49.73,0.3180840041,0.1488005101,129289.40949,0.3993931651,0.6462921347999999,0.9401149792,2,Langeland,482,12647,2015
188,,,50.4,0.34149443560000003,0.146899841,130468.25845,0.40512983909999994,0.6752882518000001,0.9391429027,1,Ærø,492,6276,2015
189,23939861.1,8622949.5675,42.39,0.21096218030000002,0.20521515640000002,162550.2182,0.46225082689999997,0.7177407011,0.9063019576000001,4,Haderslev,510,55888,2015
193,,,41.46,0.19978058559999998,0.2185821291,176454.08609,0.4988233508,0.7685529665,0.9012373795,2,Billund,530,26285,2015
195,22000180.675,7992892.25,43.22,0.23090303329999998,0.20070380129999998,161526.71079,0.4377901205,0.7030523359,0.8774048137,6,Sønderborg,540,74937,2015
201,18628036.2,6691768.5525,43.83,0.2279706627,0.1973670325,151241.10496,0.4665943142,0.7220788795,0.908015247,4,Tønder,550,38010,2015
205,28515425.1,10329756.677000001,41.03,0.19085426960000001,0.20229291219999998,174529.51017,0.4785756348,0.7220320123,0.8997454015999999,7,Esbjerg,561,115446,2015
212,,,48.54,0.31185410329999996,0.17568389059999998,170795.78527,0.449786975,0.7367795603,0.9184418745999999,1,Fanø,563,3263,2015
213,26715702.05,9911007.72,42.11,0.2068245541,0.21420191289999999,169397.54879,0.5007075236999999,0.7681927711,0.9165321375,3,Varde,573,50122,2015
216,16895012.55,6180172.6275,41.31,0.1976486505,0.2241479857,167740.74125,0.4948321018,0.7680116439,0.9110700589,4,Vejen,575,42601,2015
220,20452609.89,7429928.507999999,42.92,0.2165995685,0.207579541,159964.74037,0.45749787229999994,0.7191017876000001,0.8757106383,5,Aabenraa,580,58904,2015
225,22620407.137,8121872.16,41.33,0.1980508592,0.2093945432,173970.56282,0.4617498764,0.7121464781,0.8979337617,4,Fredericia,607,50429,2015
229,20736769.221,7445706.7543,39.56,0.173566153,0.21634220839999999,173805.12334000002,0.4838632287,0.7290461481,0.8731221368000001,7,Horsens,615,86361,2015
236,29875255.71,10769429.934,39.95,0.17896286600000003,0.2183434211,181274.32786,0.49209976710000003,0.7457602525,0.8853181416,5,Kolding,621,90794,2015
241,28291700.25,10242413.205,40.31,0.1837341041,0.22294013940000001,185635.47745,0.4961517071,0.7604535147,0.8898168248,6,Vejle,630,110471,2015
247,23749182.075,8522262.72,40.12,0.18221775710000002,0.2197093375,171575.99636,0.4976243088,0.7534744822,0.9028084678,6,Herning,657,86864,2015
253,22018978.012,8007290.7975,40.67,0.1917934132,0.2186052965,172736.48772,0.49657522340000004,0.7636417206999999,0.9226904489,4,Holstebro,661,57494,2015
257,,,44.35,0.2384430609,0.19589195550000002,169568.13062,0.4870232009,0.7611434529000001,0.9397365317,2,Lemvig,665,20657,2015
259,,,43.46,0.2315358107,0.2069013691,157564.86685,0.45655622960000003,0.7237224761,0.9187120859000001,1,Struer,671,21439,2015
260,17013836.588,6236788.95,43.83,0.23378452579999998,0.20547160350000002,169605.23411,0.47297426579999996,0.7456716418000001,0.9320529991,4,Syddjurs,706,41652,2015
264,,,43.6,0.22622168620000002,0.184957005,156860.08901,0.4640323682,0.7043548099,0.9314802165,2,Norddjurs,707,37898,2015
266,24474732.3,8776427.35,39.77,0.1767705382,0.2481376561,188038.5736,0.5065847604,0.7962603827,0.9381074599,3,Favrskov,710,47523,2015
269,,,42.59,0.2144503186,0.2164836654,176465.80816,0.4790307971,0.7597454256,0.9281702899,1,Odder,727,21928,2015
270,29185389.215,10451434.035,41.02,0.1945242002,0.2060705496,166124.74838,0.473913535,0.7215185534,0.9202145698,6,Randers,730,96800,2015
276,36186477.825,12997159.575,40.49,0.18468016620000002,0.2290258931,184391.52449,0.4943198143,0.7632040097,0.9272405791,4,Silkeborg,740,90016,2015
280,,,50.28,0.32452830190000004,0.153638814,148762.3487,0.4482292511,0.7321243523000001,0.9229521492,1,Samsø,741,3733,2015
281,14640753.25,5219472.715,39.62,0.17138245829999998,0.2542828802,200415.65144000002,0.5081931323,0.8007150812,0.9386651846999999,6,Skanderborg,746,58782,2015
287,31382421.15,11246085.99,37.12,0.14164693220000002,0.18824458089999999,182544.86346,0.4954482239,0.6927115895,0.8424399220000001,15,Aarhus,751,326246,2015
