,Kommune,ALDER,d65,d17,samlet_ind,Besk,Besk1864,DK,Befolkning,markedsvaerdix,yderkom,antal_apo,År
226,671,40.75,0.1708329653,0.2308983305,173071.97816,0.5093780412,0.7749279326,0.9415641865000001,22642,931479.8662299999,0,1,2008
227,706,41.48,0.17993900370000002,0.23076923079999997,174057.26748,0.5078741113,0.7796665981,0.9527795977,41314,1292737.1977,0,4,2008
231,707,41.87,0.1865069028,0.2145610836,160992.07058,0.5014349074000001,0.7553552768999999,0.9520740934,38390,1122192.1503,0,2,2008
233,710,37.9,0.1361788618,0.2670818198,188904.87722,0.5409463148,0.8297841466,0.9637765934,46248,1534646.1471,0,3,2008
236,727,40.27,0.1662112722,0.2413282082,180535.75669,0.5211274146,0.8032093933,0.9509658247,21593,1985603.6107,0,1,2008
237,730,39.98,0.16506935820000002,0.22170216829999997,173208.43162000002,0.514078217,0.7694720244,0.9463773047,94221,1272194.32,0,3,2008
240,740,38.75,0.1478594801,0.2448645701,196304.19813,0.5350092219,0.8062274012999999,0.9479472642,88016,1665814.1154,0,4,2008
244,741,46.91,0.2503122658,0.1936047964,142261.48389,0.45945945950000006,0.7261690647,0.9504504505,4003,978073.0669600001,0,1,2008
245,746,37.8,0.1271099654,0.2682392824,200063.09761,0.545359639,0.8286415855,0.9557462620999999,56636,1684132.4839,0,2,2008
247,751,36.83,0.1241994858,0.20275727149999997,179561.81962999998,0.5243918247,0.7349129092,0.8638963767,302618,2018568.2163,0,12,2008
259,756,39.07,0.1536489446,0.2421843887,174152.68227,0.5354299264,0.7998761354,0.9294147011,40176,1419069.3229,0,3,2008
262,760,39.54,0.1653827186,0.24565073210000002,172164.40427,0.541690813,0.8191707895999999,0.9407192773,58803,1024355.6739,0,4,2008
266,766,38.91,0.1543717631,0.25495060280000004,183521.68337,0.5449270304,0.8352402745999999,0.9582906132,45954,1295543.9607,0,3,2008
269,773,42.17,0.19513078109999998,0.21639967420000003,150591.84746,0.4881697036,0.7423974132,0.9658235881,22098,1061825.8199,0,2,2008
271,779,40.5,0.17608695649999997,0.22834368530000002,165429.13403,0.5116351418999999,0.7761105695999999,0.9552638128000001,48300,1276223.3943,0,4,2008
275,787,41.07,0.1781296605,0.225853145,164168.36064,0.5191331297,0.7791657454,0.9502824362000001,45596,1370440.6069999998,0,3,2008
278,791,39.19,0.1554140676,0.2370748629,178757.60251,0.5369230437,0.8052056498000001,0.9485734033,92823,1542950.6104,0,6,2008
284,810,40.58,0.1786812818,0.2331525082,156414.41142000002,0.49875339659999995,0.7733783848000001,0.9629940891,35762,1344866.8596,0,2,2008
286,813,42.54,0.1944822071,0.20628548579999997,164734.99302999998,0.49404056259999996,0.7512156025,0.9558488994,62525,1167662.9015,0,5,2008
291,820,40.54,0.17825691649999997,0.2318223146,161042.72453,0.5098345707999999,0.7831559422,0.9494854761,38495,1154666.199,0,4,2008
295,840,39.09,0.1511418685,0.2544636678,177972.70167,0.5349232209,0.8242975399,0.9651634372,28900,2444045.6215,0,2,2008
297,846,40.37,0.16886488,0.23235582989999998,168157.21215,0.513238671,0.7819625328,0.9531843104000001,42762,1045468.0126,0,3,2008
300,849,40.99,0.1748140549,0.23344447289999998,164553.59017,0.50659095,0.7767698251,0.9673664465,38990,1113718.3273,0,3,2008
303,851,39.0,0.1546522528,0.2018268702,176719.51140999998,0.5082362436,0.7401218699,0.9255801125,196292,1347488.8089,0,10,2008
313,860,40.85,0.17711841670000003,0.22662513780000001,162039.49892,0.5025821666,0.7660319764,0.9544464014,67102,1336709.6444,0,6,2008
0,101,35.87,0.1043414715,0.1738974041,196194.53071,0.5301180986,0.7077317132,0.7856002981999999,528208,1888145.9067,0,24,2009
24,147,39.31,0.1601149734,0.1696271635,219241.66959,0.5256158913000001,0.7459370023,0.8419687776000001,96718,2192003.0648,0,5,2009
29,151,40.18,0.18570049530000002,0.22653823550000002,183822.90794,0.4693062648,0.7411138499,0.8736523548,47652,1763052.7993,0,3,2009
32,153,40.59,0.17931646690000003,0.21772451550000002,168472.09114,0.457342035,0.7053128225,0.7479976268,33795,2101715.0315,0,2,2009
34,155,42.51,0.2022264819,0.2320112061,220041.25253000003,0.4988560041,0.802739726,0.9350505572,13564,2317676.8666,0,1,2009
35,157,40.69,0.17518155719999998,0.2347998649,280801.3208,0.5064383136,0.7832037325,0.882684325,71052,3856448.7535,0,4,2009
39,159,39.24,0.1597142055,0.22986802280000002,198268.27565,0.4996323472,0.7623886556999999,0.8570378135,64102,2028396.3875,0,3,2009
42,161,40.68,0.18064425239999998,0.2020567243,195479.18075,0.5077031802,0.7704930545,0.8681272084999999,21296,1616051.727,0,1,2009
43,163,40.74,0.1816162073,0.2203645127,185307.83154,0.4936064275,0.7658032394,0.8548149825,26556,1791233.4841,0,1,2009
44,165,37.33,0.1363865849,0.2395961053,171309.59709,0.47396963119999996,0.7050717925,0.7414316703,27730,1583957.7029,0,1,2009
45,167,39.49,0.1649103049,0.2227093556,186505.28148,0.49852899689999997,0.7633733355,0.8551968726000001,49724,1699358.8022,0,2,2009
47,169,38.23,0.1438402148,0.2371181605,188839.29059000002,0.4938920544,0.7407872413,0.7956729253,47664,1358916.4928,0,2,2009
49,173,41.44,0.19133947199999998,0.21232076879999998,227548.36689,0.4967040148,0.7740145797,0.8897430477,52237,2546994.0428,0,3,2009
52,175,40.75,0.1869290426,0.21552176190000003,184019.41084,0.4896769022,0.7645155325,0.8579364859999999,36233,1701533.5996,0,1,2009
53,183,37.12,0.1226341842,0.2405124721,171670.18429,0.4768144179,0.6997325181999999,0.6805163176000001,20606,1515368.6769,0,1,2009
54,185,40.95,0.174974618,0.2202907164,192652.40147,0.49956593990000003,0.7736251127,0.9025225091,40383,1802467.658,0,2,2009
56,187,38.88,0.15500178,0.2437878248,213392.48869,0.5261617532,0.8082078045000001,0.8356056821,14045,1668357.5188,0,1,2009
57,190,40.31,0.17846306760000002,0.25622515170000004,229191.20514,0.4967637116,0.7990273275,0.8808731427,38232,2393467.1188,0,2,2009
59,201,39.28,0.1604881896,0.26896093649999997,233543.89519,0.5216903049,0.8351304093999999,0.9358233166,24089,2025020.0658,0,1,2009
60,210,40.41,0.1631315964,0.2443277418,214211.63522,0.4994636563,0.7706951503,0.8681105379,39226,2004281.7353,0,3,2009
63,217,41.27,0.1856631176,0.2270578807,187952.29869,0.47796948990000004,0.7446316023999999,0.8889708172,61143,2232310.2144,0,4,2009
67,219,38.94,0.15745792349999999,0.2520590652,206856.43354,0.5141066492,0.8004499518000001,0.9105277596,47473,2084383.9702,0,2,2009
69,223,43.47,0.22659775210000002,0.2265157109,253976.43361999997,0.489058901,0.7932435483,0.9121010201,24378,3067341.5196,0,1,2009
70,230,41.71,0.2017853207,0.2405223716,248511.84038,0.4860598908,0.7871988351000001,0.9000774451000001,54444,3405333.4863,0,3,2009
73,240,38.02,0.1392094043,0.2693614049,220750.98846,0.5332802586,0.8317166612000001,0.9389158283,41513,1705139.5885,0,1,2009
74,250,40.74,0.1805712734,0.23437146350000002,193135.10535,0.5017788756,0.7876969533,0.9435518593000001,44182,1374359.5501,0,2,2009
76,253,39.84,0.16139756619999998,0.2430686238,206236.43893,0.5111069238,0.7851245477,0.8897682306,47826,2003610.1868,0,2,2009
78,259,39.15,0.156463895,0.2443063457,190436.67523,0.4959051611,0.76188666,0.9148589166,57125,1665285.8455,0,4,2009
82,260,41.97,0.18962576829999997,0.21578659460000002,173337.44832,0.47187933090000006,0.7380165737000001,0.9165243175,31077,1366147.7052,0,2,2009
84,265,39.58,0.1615922486,0.2294043711,205874.94034,0.5104195984000001,0.7772373736,0.9149545404,81947,2114310.4691,0,3,2009
87,269,39.26,0.1482616608,0.2538071066,216455.25798000002,0.5269777266,0.8103489771,0.9430683564,20882,2260200.6405,0,2,2009
89,270,42.13,0.1906669288,0.22440654640000002,187720.91554000002,0.499864662,0.7728381561,0.9497773075,40694,1438793.2265,0,2,2009
91,306,44.54,0.2247048138,0.19445958219999998,149386.72603,0.4406815632,0.6887102667,0.9571294303,33030,1080021.6236,0,2,2009
93,316,39.69,0.1568511862,0.2345794393,180440.07486,0.49744328409999994,0.7512770787999999,0.927374865,69550,1644056.2901,0,3,2009
96,320,40.76,0.16951792899999998,0.2302441511,177680.06167999998,0.4934567235,0.7571577058,0.9588100037,35306,1543269.7098,0,3,2009
99,326,41.36,0.1796204202,0.22314016039999998,167418.90372,0.46802845530000003,0.7204326678,0.9515853659000001,49265,1110650.7843,0,3,2009
102,329,38.88,0.14626810699999998,0.23729437760000002,184412.29648,0.5104708017,0.7659638104000001,0.9035333190000001,32584,1701770.1425,0,1,2009
103,330,40.59,0.1753856083,0.2174895127,166728.0392,0.47431141670000004,0.7193643094,0.9169176284999999,77475,1451772.6695,0,4,2009
107,336,42.24,0.1889106744,0.21535725690000002,179171.84281,0.4970992645,0.7627586206999999,0.9600292358,21931,1671406.1891,0,1,2009
108,340,40.3,0.1664521374,0.23660321120000002,178109.7773,0.4913281064,0.7606978462,0.9570647931,29522,1291616.8146,0,3,2009
111,350,40.17,0.1610061954,0.2502799134,204941.75756,0.5205771315,0.8116034023,0.9589952529000001,26794,2247337.984,0,1,2009
112,360,44.81,0.22735399280000002,0.18740422269999998,138974.05247,0.4140481774,0.6420638677,0.9410573438,46984,1519145.2787,0,3,2009
115,370,40.36,0.1681255548,0.2218660617,173539.9493,0.4883425128,0.7391805765999999,0.9376620811,81112,1376155.4964,0,5,2009
120,376,43.64,0.2125985504,0.1934448118,151793.79645,0.4567616197,0.7028700056,0.9457350763,62912,1273179.6208,0,6,2009
126,390,43.21,0.207387897,0.2074094864,153221.64548,0.4442546382,0.6972785348,0.9532067637999999,46319,1405758.8865,0,4,2009
130,400,44.52,0.2179389856,0.1965886986,142854.57549000002,0.4329255256,0.6752656770000001,0.9597814467,42154,905195.9678600001,0,3,2009
133,410,40.96,0.178885319,0.23565492149999998,174812.24059,0.4875907749,0.7558097313,0.9535817837999999,37661,1310465.9281,0,2,2009
135,420,40.9,0.176653826,0.2368383507,163142.63115,0.47222751520000006,0.732600138,0.9644388338,42054,1681493.4981,0,3,2009
138,430,41.86,0.1922242488,0.2270519343,159479.16946,0.47233600649999996,0.7337062659,0.9597299948000001,52085,1431979.1839,0,2,2009
140,440,41.7,0.19478334030000002,0.2286916281,167969.63966,0.46781875659999994,0.7331628926,0.9543519494,23770,1494642.6182,0,2,2009
142,450,41.89,0.19469864309999999,0.21931208579999997,159694.40103,0.4609231742,0.7169119629,0.9412899145999999,31690,2495874.1069,0,2,2009
144,461,38.6,0.152433824,0.2071756623,165325.74892,0.4723189637,0.6911154372,0.867604587,188777,1457965.1489,0,10,2009
154,479,41.32,0.1808027391,0.2128885725,160310.07675,0.4657834395,0.7040873459999999,0.9364585987,58998,1702732.4027,0,4,2009
158,480,40.94,0.1772724205,0.2314933531,159822.96897000002,0.48030297909999997,0.7403912148,0.9628377236,29638,1348149.1693,0,3,2009
161,482,47.39,0.2610658771,0.16987416730000002,134233.67562999998,0.4271743962,0.6683148992,0.9586605423000001,13510,786834.2908300001,0,2,2009
163,492,48.44,0.2798323102,0.1648450367,136329.77922,0.427027027,0.6821621622,0.9531531531999999,6679,793564.58687,0,1,2009
164,510,40.72,0.1788946864,0.2258722891,163102.07065,0.4817897283,0.7383490073000001,0.9299509176,56346,1829356.746,0,4,2009
168,530,39.98,0.169266055,0.2387232416,170834.15043,0.5140068886,0.7821730981,0.9399923459999999,26160,1130674.0876,0,1,2009
169,540,41.35,0.1963657295,0.2224780544,160148.11995,0.45184117420000003,0.7133067334000001,0.8999344778,76439,1311572.4721,0,5,2009
174,550,41.79,0.18957441449999998,0.2216066482,147141.71345,0.4789748505,0.7348494581999999,0.9276543148,39710,1708645.5005,0,3,2009
177,561,39.69,0.1603019615,0.2200861754,172545.09376,0.4878953279,0.7243267529999999,0.9169778798999999,115114,1172796.4335,0,5,2009
182,563,45.88,0.22491456969999998,0.1960236098,174339.07648,0.4839912962,0.7412775093999999,0.9390736711,3219,1231518.9394,0,1,2009
183,573,40.31,0.17489777280000002,0.2374647664,166170.392,0.5146160428000001,0.7866012519,0.9447595168,50378,1439139.2958,0,3,2009
186,575,39.62,0.1702908717,0.243429667,160142.64713,0.497855385,0.7691631364,0.9435837337,42768,1619638.1725,0,4,2009
190,580,40.97,0.17811530890000002,0.22689986329999998,160092.60323,0.47325233549999995,0.7292578871,0.8958671056,59978,1335774.8739,0,4,2009
194,607,40.07,0.1715581055,0.2235150153,177356.10854000002,0.4773521965,0.7270192212000001,0.9218078051999999,49849,1389385.5061,0,3,2009
197,615,38.8,0.1515672853,0.22694827780000001,174506.83369,0.4932551535,0.7314176547,0.9041644225,81957,1238068.8067,0,6,2009
203,621,38.9,0.15576337980000002,0.2297605281,180104.83893,0.5049685457,0.7557175032,0.9143812106999999,89071,1464159.8547,0,4,2009
207,630,39.22,0.1585497683,0.2377071525,181486.8103,0.5049794134000001,0.7660423846,0.9194908467,106383,1391403.9614,0,6,2009
213,657,38.73,0.1528031047,0.23489736760000002,169010.73815,0.5045339518999999,0.7531175886,0.9249964853,85548,1495351.8129,0,3,2009
216,661,39.24,0.1602811273,0.2326135726,169749.52051,0.5106110341,0.7672147253,0.9398269234000001,57056,1294968.8676,0,4,2009
220,665,41.75,0.1925195044,0.2272143185,156650.34329000002,0.4892149197,0.7598858864,0.9620107620999999,21790,1432255.9495,0,2,2009
222,671,41.09,0.1779566784,0.2285282213,162566.33823,0.4785144944,0.7333683342,0.9408202342,22483,951224.66405,0,1,2009
223,706,41.79,0.1864128334,0.2288848087,167931.84455,0.4825832082,0.7465821526,0.9526185747,41392,1223470.8694,0,4,2009
227,707,42.19,0.19209394989999998,0.2099716892,156456.29759,0.4774422269,0.7223563496,0.9502888655,38148,1569199.4243,0,3,2009
230,710,38.12,0.1417180683,0.2677469965,183968.75785999998,0.5159032668,0.7996938551999999,0.9627236901999999,46529,1974014.2015,0,3,2009
233,727,40.55,0.1716771788,0.23806454579999997,178814.67835,0.4992619926,0.7740952083,0.9489391144,21721,1420920.3536,0,1,2009
234,730,40.06,0.1691292876,0.2214036939,168015.12881,0.48201294310000004,0.7274019870999999,0.944611285,94750,1643008.0015,0,3,2009
237,740,38.91,0.15236039380000002,0.24432364010000002,193364.48487000001,0.5043141517999999,0.7662215887999999,0.9461127341,88481,1589806.8599,0,4,2009
241,741,47.18,0.255361596,0.1880299252,143283.70124000002,0.4502121288,0.7144778126000001,0.9498377839,4010,1146989.7157,0,1,2009
242,746,37.97,0.1325585048,0.26785683120000003,194120.33387,0.5190767617000001,0.7978376173,0.9539080259,57303,1689331.2345,0,2,2009
244,751,36.86,0.1268742866,0.200629382,178354.50655999998,0.504468654,0.707425875,0.8606650456999999,306650,1779948.2053,0,12,2009
256,756,39.27,0.1579678508,0.2416898194,165704.63522,0.5001491128,0.7550893744,0.9261394702,40312,1126676.098,0,3,2009
259,760,39.89,0.1711186023,0.2422697171,165924.05687,0.51123769,0.780156154,0.9397625502,58439,1385248.3958,0,4,2009
263,766,39.18,0.1587577748,0.2541211779,176090.11079,0.5097966567000001,0.7871929955,0.9571300918000001,45982,1438467.9780000001,0,3,2009
266,773,42.4,0.1996519031,0.2142170109,144882.75308,0.45975956689999997,0.7026773132999999,0.9636597229,21833,798145.6672,0,2,2009
268,779,40.73,0.18092112100000002,0.2266032366,159889.92029,0.48148841859999997,0.7337265640999999,0.9551518179,48137,1230927.5203,0,4,2009
272,787,41.28,0.1833896285,0.2250480164,154675.06935,0.4923873595,0.743552366,0.9492564398000001,45297,1541605.5953,0,3,2009
275,791,39.34,0.1595648912,0.2369735291,174044.97252,0.5078955849,0.7689871729000001,0.946288538,93310,1458107.6867,0,6,2009
281,810,40.77,0.18168361079999998,0.23251592,157053.28415,0.47165482119999996,0.7347396554000001,0.9627007667,35804,1470689.6564,0,2,2009
283,813,42.92,0.2032189914,0.2032189914,159301.49051,0.4637875363,0.7135981728,0.9545043591,62007,1189941.7651,0,5,2009
288,820,40.97,0.18545635859999998,0.23014748329999998,154751.18107,0.4806130228,0.7416816547,0.9515522725,38106,1139938.5674,0,4,2009
292,840,39.32,0.1561763483,0.2526341328,177136.91942,0.506130388,0.7845187056,0.964502796,28852,1639828.2944,0,2,2009
294,846,40.71,0.17453760210000002,0.2285935593,163296.061,0.481495415,0.7367115521,0.9522219609999999,42604,1174763.6192,0,3,2009
297,849,41.24,0.18164769949999998,0.2306882113,160034.97849,0.47596611829999996,0.7339987742,0.9658865631999999,38927,1046009.7228,0,3,2009
300,851,39.06,0.1579579184,0.2008195476,173368.03783,0.4856479859,0.7099092254,0.924063552,197426,1515214.3308,0,10,2009
310,860,41.15,0.1827313145,0.22328338550000001,156413.62404,0.4769765942,0.7285916133,0.9527386682,66803,1474113.1418,0,6,2009
0,101,35.67,0.10350260039999999,0.17483532329999998,195272.5708,0.5270848509,0.7045168798999999,0.7843211793000001,539542,1564751.1095,0,23,2010
23,147,39.06,0.1603024843,0.1708813347,222330.65611999997,0.5193570688,0.7365464043000001,0.8378235497,98782,1783339.7998,0,5,2010
28,151,40.27,0.18935948260000002,0.2251616941,183451.99305,0.4607138379,0.7303767661,0.8682241819,47930,1525460.7883,0,3,2010
31,153,40.67,0.181182211,0.2146027454,166189.01804,0.4491869919,0.6932333025,0.7390420643000001,34021,1310954.9134,0,2,2010
33,155,42.64,0.20944813010000002,0.2328497485,225113.67831,0.4929855327,0.8013617913,0.9315358761,13717,2056290.8685,0,1,2010
34,157,40.65,0.17817999269999998,0.2358256407,293537.97782,0.5055378971,0.7823499892,0.8777741994,71714,2969944.9539,0,4,2010
38,159,39.12,0.16104447970000002,0.2304044587,199861.35345999998,0.49386621399999997,0.7539401003,0.8506596713,64951,1565291.0480000002,0,3,2010
41,161,40.57,0.18233258510000003,0.20258136920000003,195206.68397,0.4972106324,0.7574626865999999,0.8653133937,21384,1470397.8865,0,1,2010
42,163,40.75,0.1826145806,0.2209271722,185656.64858,0.4826196663,0.7491955328000001,0.8532745829,26597,1388550.0866,0,1,2010
43,165,37.55,0.1450359712,0.2372661871,167692.26654,0.456619027,0.6861083514,0.7385592609,27800,1339412.3082,0,1,2010
44,167,39.49,0.166650027,0.2215411034,185673.28672,0.48866342479999997,0.7485863703,0.8510736227,50081,1509485.3552,0,2,2010
46,169,38.37,0.1501266936,0.2373044625,186016.40967,0.48153591,0.7287294142,0.789641635,47753,1339071.1024,0,2,2010
48,173,41.23,0.1916821473,0.2155476362,239253.07151999997,0.49046052009999996,0.7665030005,0.8875425615000001,52754,2554690.8799,0,3,2010
51,175,40.67,0.1863432264,0.2151462052,183373.095,0.48133918770000006,0.7501145213,0.8526893524,36524,1434578.0852,0,1,2010
52,183,37.27,0.1306438429,0.2387363562,168782.98661,0.46754749729999995,0.6911506451999999,0.6731121612000001,20797,1118609.7795,0,1,2010
53,185,40.89,0.1769805314,0.22030121219999999,191487.67825,0.49177030439999997,0.7645264912999999,0.9001398190000001,40835,1448102.3819,0,2,2010
55,187,38.81,0.16178608519999998,0.2437521634,212059.06692,0.5178608587,0.8040564168000001,0.8270097801,14445,1349891.4791,0,1,2010
56,190,40.5,0.184532205,0.2535913911,235921.80903000003,0.4919808482,0.7935318753,0.8829177677,38286,2094188.7103,0,2,2010
58,201,39.62,0.1699867198,0.2675547809,241018.88121999998,0.5153820570000001,0.8360304440999999,0.9356032261,24096,1672825.5025,0,1,2010
59,210,40.7,0.17170382039999998,0.24198673140000002,218123.48358000003,0.4950830531,0.7691806412000001,0.8666564761,39341,1475252.2938,0,3,2010
62,217,41.53,0.1934558728,0.2257365402,189888.49163,0.4755693413,0.7449553145000001,0.8883682965,61368,1557157.4417,0,4,2010
66,219,39.15,0.1620752984,0.2496452125,210934.78837,0.5084912369,0.7935848252,0.9076839419,47916,1506030.1398,0,2,2010
68,223,43.75,0.2350604137,0.225025599,275069.23158,0.486122516,0.7956931974,0.9114386599,24415,2471912.1115,0,1,2010
69,230,41.74,0.2068474391,0.2417054688,269124.85149000003,0.4805049654,0.7826144790999999,0.8994466634999999,54765,2904041.8769,0,3,2010
72,240,38.39,0.1493247465,0.2660162445,223787.64939,0.5246197536,0.8258597992,0.9371630728,41614,1461145.9209999999,0,1,2010
73,250,41.07,0.18890920170000003,0.2316563974,191464.36718,0.4939445976,0.7799906462,0.9402141986,44307,1134395.1455,0,2,2010
75,253,40.15,0.1716411689,0.24102713739999998,206817.80808,0.5015136015,0.7766845452,0.8877638364,47978,1529036.1835,0,2,2010
77,259,39.37,0.1637303347,0.24319463600000002,189296.04421,0.4872619818,0.7549426912999999,0.9129408473,57271,1425418.9302,0,4,2010
81,260,42.35,0.1992207625,0.2131955178,170979.79183,0.4594132818,0.7234194221,0.9162153448999999,31056,989063.00905,0,2,2010
83,265,39.72,0.1677206755,0.2277749509,207688.6063,0.5028708773,0.7682040784,0.9135944840000001,82542,1586153.949,0,3,2010
86,269,39.57,0.1579374165,0.2524804427,219526.26464,0.5196865442999999,0.8050696468999999,0.9416093272,20964,1826610.5038,0,2,2010
88,270,42.64,0.20363636359999998,0.2198034398,188095.37885,0.49166605119999995,0.7662526145,0.9486175739,40700,1394706.7328,0,2,2010
90,306,45.02,0.2347389253,0.1899528086,149531.06612,0.43341360079999997,0.6818157740999999,0.9566251105,32845,851931.2856,0,2,2010
92,316,39.95,0.16338947939999998,0.2318436156,179566.21659,0.4898006223,0.7438919846,0.9263714417,69521,1190681.9591,0,3,2010
95,320,41.15,0.1771692604,0.22671995920000002,177817.81093,0.4880458856,0.7506426734999999,0.9573797490000001,35277,1169369.4025,0,3,2010
98,326,41.68,0.1870925684,0.22025749670000003,165910.97269,0.4582874168,0.7093411318999999,0.9510224072,49088,980458.3170899999,0,3,2010
101,329,39.07,0.1523563393,0.2358771663,184058.80693,0.5008834999,0.7561351984,0.9025408238,32890,1222298.549,0,1,2010
102,330,40.79,0.1815939671,0.2147413548,165232.67844000002,0.4655391066,0.7111601594,0.9150188933,77442,1146465.1125,0,4,2010
106,336,42.62,0.1979409746,0.2117593228,179683.46182,0.49157046,0.7576603832,0.958951805,21855,1258340.6201,0,1,2010
107,340,40.62,0.17315841210000002,0.2336350385,175073.69312,0.4836967597,0.7514735336,0.9570341689,29499,1162530.6423,0,3,2010
110,350,40.52,0.170564938,0.2483560006,208178.43594,0.5118793729,0.8017252478,0.9585063793,26764,1319146.6288,0,1,2010
111,360,45.11,0.2352583982,0.1851402052,137998.31478,0.4043052327,0.6321585078,0.9407867584999999,46111,1332075.3383,0,3,2010
114,370,40.62,0.17438830079999998,0.2197547028,172553.52936,0.481475065,0.7329127878,0.9364558842,80963,1156387.5938,0,5,2010
119,376,43.79,0.218509819,0.192048959,151446.3722,0.44841765060000005,0.6942153245,0.9438417970999999,62583,1012598.9161,0,6,2010
125,390,43.45,0.21483647390000002,0.2048949534,153069.12867,0.4393830936,0.6926353548,0.9519967029,46170,932012.19019,0,4,2010
129,400,44.86,0.2279795225,0.1940577006,143986.76447,0.42661715380000004,0.6691252642000001,0.9586966938,41802,895286.6943399999,0,3,2010
132,410,41.3,0.18604281050000002,0.2321954325,176502.37773,0.4820726655,0.7487453234999999,0.9522468926000001,37701,1413274.0214,0,2,2010
134,420,41.3,0.1834274048,0.2340338657,163909.26347,0.47138354950000005,0.7328710583,0.9633363004000001,41635,1433823.8822,0,3,2010
137,430,42.09,0.20036205370000001,0.2258598775,158436.92779000002,0.4652042214,0.7295398783,0.9581717504999999,51926,1151065.686,0,2,2010
139,440,42.09,0.2036366698,0.22468221230000002,166552.85794000002,0.45576396210000003,0.7187292695999999,0.9514857745,23758,1052807.4273,0,2,2010
141,450,42.17,0.2006730372,0.2160703514,157780.74454,0.4501494246,0.7060906516,0.9401348,31499,1106078.0863,0,2,2010
143,461,38.63,0.1561723041,0.20491471519999999,164919.79875999998,0.4636715561,0.6798734520999999,0.8650251494,190245,1336022.9022,0,10,2010
153,479,41.61,0.1880673786,0.2107369748,159482.38737,0.4572769152,0.6979237576999999,0.9358130012,58713,1342967.8056,0,4,2010
157,480,41.29,0.1841935812,0.2280814722,161713.69853,0.4751026781,0.7313088159000001,0.9610332304000001,29507,1089579.7247,0,3,2010
160,482,47.82,0.27000450379999996,0.1667167092,133816.8965,0.4200480914,0.6631550873,0.9586714758,13322,722772.90997,0,2,2010
162,492,48.69,0.28995947769999997,0.16404022210000002,133737.42215,0.4180943793,0.6784044017,0.9463480612999999,6663,726829.73511,0,1,2010
163,510,41.02,0.18584386190000002,0.22169752480000002,162466.94908,0.47148288969999996,0.7245045479000001,0.9272925258,56117,969942.2690799999,0,4,2010
167,530,40.26,0.17583636019999999,0.23540432039999998,171696.92673,0.5078933252000001,0.7769896531999999,0.9355506169,26155,911464.20714,0,1,2010
168,540,41.62,0.2032207683,0.218839001,160346.43641,0.4488491385,0.7105939626000001,0.8958700513,76193,992629.2527899999,0,5,2010
173,550,42.02,0.1951398743,0.2181988648,148092.54342,0.4738338877,0.7286060395999999,0.9257039840000001,39464,1024640.8435,0,4,2010
177,561,39.91,0.1661255035,0.2168096263,173057.18972999998,0.4809710258,0.7163775244,0.9154006787000001,115184,1077609.8296,0,5,2010
182,563,46.16,0.23747276690000002,0.19452225329999998,175101.3658,0.4781931464,0.7456140351,0.9395638629,3213,847463.02251,0,1,2010
183,573,40.53,0.1792417231,0.23560604559999998,166938.43545,0.5079778768,0.7779892597,0.9405538755,50351,1040743.3915,0,3,2010
186,575,39.91,0.1762528407,0.2430007263,161758.5492,0.49034196259999996,0.7634916787999999,0.9420517755,42683,1039960.7372,0,4,2010
190,580,41.3,0.1861694122,0.22379797640000001,161114.78036,0.4655238861,0.7232206229000001,0.8938320012000001,59795,1053927.1697,0,4,2010
194,607,40.23,0.17671243809999998,0.2220182021,176171.08892,0.46793923649999997,0.7163737833,0.9192884269,50104,1244260.0799,0,3,2010
197,615,38.87,0.1558399227,0.2257379127,173743.65667,0.4863531375,0.7256384704000001,0.8996650261,82835,1317899.2694,0,6,2010
203,621,39.12,0.16075552070000002,0.22879722,181059.28628,0.4977518491,0.749654855,0.9116589104999999,89210,1178197.0362,0,4,2010
207,630,39.34,0.16300434630000002,0.2367326382,182463.15109,0.4994249811,0.7601046273000001,0.9161687843999999,107218,1334187.0507,0,6,2010
213,657,38.94,0.158202488,0.2333434282,170183.9878,0.49883264850000003,0.7481826726,0.9220792865,85852,1194430.9155,0,3,2010
216,661,39.48,0.1667395602,0.2298245307,172000.76939,0.5041810564,0.7621135143000001,0.9377837772,57161,1118738.6807,0,4,2010
220,665,42.13,0.19959172309999998,0.22269648329999997,168066.01195,0.4930264993,0.7689089154000001,0.960204556,21554,627644.4762,0,2,2010
222,671,41.52,0.18963497070000002,0.2257773772,162269.08043,0.4728650697,0.7324128355,0.9387828754,22190,1055573.1032,0,1,2010
223,706,41.98,0.19396655010000002,0.2264101212,168426.98592,0.4742780325,0.7365480132,0.9502124493,41734,928116.9420299999,0,3,2010
226,707,42.43,0.196902364,0.2060269794,157794.88998,0.47355528630000004,0.7160238043000001,0.9502712954000001,38029,807415.8916600001,0,2,2010
228,710,38.37,0.1483985158,0.2657696081,184883.99128,0.510491453,0.7971426489,0.9611965812000001,46894,1205711.6916,0,3,2010
231,727,40.82,0.1782903167,0.2361797547,178018.4314,0.4905798762,0.7683337246999999,0.9473298189,21852,1191834.8879,0,1,2010
232,730,40.19,0.1737237458,0.2197591221,167373.19898,0.4759912543,0.7208742488,0.9421855948000001,95318,999391.20315,0,3,2010
235,740,39.12,0.1576035001,0.24250672010000002,180544.14922999998,0.49824755159999995,0.7587734946,0.9435159411,88913,1358828.5368,0,4,2010
239,741,48.04,0.2712998713,0.1758043758,135378.1207,0.4397730204,0.7046196920000001,0.9481557906,3885,574036.1894,0,1,2010
