,Kommune,ALDER,d65,d17,samlet_ind,Besk,Besk1864,DK,Befolkning,markedsvaerdix,yderkom,antal_apo,År
291,846,42.02,0.1988454137,0.2127907253,162723.76237,0.4732597421,0.7283566404999999,0.943807394,42093,906615.3878,0,3,2013
294,849,42.46,0.21284973010000002,0.2174910693,162099.84164,0.46392830079999997,0.7306317044,0.956808027,38351,854262.78616,0,3,2013
297,851,39.17,0.1705707719,0.1890587875,168702.23239000002,0.4696120753,0.6868247253,0.9097814329999999,205809,1168572.4372,0,9,2013
306,860,42.34,0.2074000459,0.2074306246,160320.16100999998,0.46639402020000004,0.7221335287,0.9402475263,65405,935940.73093,0,6,2013
0,101,35.38,0.1031689947,0.176223405,197587.11111,0.5303388904999999,0.7076974504000001,0.7706745731999999,580184,1677658.1159,0,23,2014
23,147,38.82,0.16599154970000002,0.1750910923,226252.7426,0.5210863928,0.7462302262999999,0.8259470842000001,103192,2027141.2801,0,5,2014
28,151,41.12,0.2037017889,0.2178678523,181161.37857,0.4548093471,0.7336128731999999,0.8560617056000001,48355,1488671.3631,0,3,2014
31,153,40.76,0.18813124109999999,0.20895863050000002,158652.58662000002,0.4408937461,0.6817125787999999,0.6995765864,35050,1425263.0261,0,2,2014
33,155,43.37,0.23367550609999999,0.22640433420000003,227300.56675,0.4839539704,0.8065413136,0.9228789936,14028,2074727.8075,0,1,2014
34,157,40.89,0.19103987620000001,0.2298083596,309745.70589,0.49565613159999994,0.7662250584,0.8547046303,74932,3086477.2152,0,4,2014
38,159,39.19,0.1652486377,0.225177068,197940.74870999999,0.4883817922,0.7466103144,0.8216307197,67347,1523387.6071,0,3,2014
41,161,40.53,0.18705550829999998,0.2019054435,186998.18435,0.4930978845,0.7567270328,0.8353800645,22357,1371604.0641,0,1,2014
42,163,40.42,0.1818601677,0.2219340628,180684.90036,0.478375396,0.7464645862,0.8255793257999999,28148,1527577.7108,0,1,2014
43,165,38.58,0.17010717109999998,0.2261382435,160473.70809,0.4460522517,0.6848963003,0.7284569861,27806,1182735.0385,0,1,2014
44,167,39.46,0.16949217260000002,0.2176785032,182589.56922,0.4857629454,0.7443043505,0.8235485476000001,52380,1304359.4059,0,2,2014
46,169,39.12,0.16821044079999997,0.2266301036,177047.44826,0.4742135804,0.7259702697,0.7517459025,49230,1169192.6083,0,2,2014
48,173,41.13,0.1955712147,0.215141115,244326.11140999998,0.49114671159999995,0.7650080957,0.8728462497,54778,2104939.4821,0,3,2014
51,175,40.72,0.18718702809999999,0.2093368307,180069.84480999998,0.4785644129,0.7443936329,0.8302142231,37743,1288356.4923,0,1,2014
52,183,37.96,0.153461975,0.2287400681,158693.58078,0.451149033,0.6795202001999999,0.6363139932,22025,1109334.9328,0,1,2014
53,185,40.87,0.1837079839,0.2172268809,189011.67025,0.49297266759999997,0.7671797691,0.88153589,42573,1531289.4396,0,2,2014
55,187,39.28,0.1856748224,0.2419100237,203289.05064,0.49551746869999996,0.7979739841,0.8038233355,15204,1489922.0214,0,1,2014
56,190,41.51,0.2082043146,0.2404995266,235701.44533000002,0.4819922586,0.7851032174,0.8749327112999999,39077,1891363.9616,0,2,2014
58,201,41.19,0.19896767850000002,0.24874032199999999,237113.83969000002,0.5056438041,0.828318847,0.9273898945,24411,1692650.2191,0,1,2014
59,210,42.1,0.20763351100000002,0.22709443829999998,212384.23409,0.4809970261,0.7604138792,0.8506225112000001,39772,1779694.2062,0,3,2014
62,217,42.9,0.2205996885,0.20799260120000002,190086.35056,0.47047535409999997,0.7391230117,0.8798360736,61632,1461531.1643,0,4,2014
66,219,40.22,0.1808259347,0.2327115745,206186.68511,0.5073578937,0.7869645405,0.8952342076,49108,1498668.5782,0,2,2014
68,223,44.84,0.2641615706,0.2149983907,274799.91913,0.4720351627,0.7834276413,0.9014073148,24856,2480943.4892,0,1,2014
69,230,42.46,0.22380548690000002,0.2333471618,282992.27299,0.4803038524,0.7864692741,0.8898715862000001,55441,2469928.4165,0,3,2014
72,240,39.78,0.17896319260000002,0.2506048434,217419.11516999998,0.5158778697999999,0.8269904754,0.9254798645000001,42573,1465969.1662,0,1,2014
73,250,42.65,0.2165582149,0.2155449981,188837.81489,0.48598805100000003,0.7742242679000001,0.9335362417,44413,1036534.212,0,2,2014
75,253,41.37,0.2022320057,0.222954848,200761.80882,0.4928713562,0.7790104520000001,0.8677046793000001,48835,1541778.5926,0,2,2014
