,ApotekNr,Navn,TypeID,Adresse,PostNr,Startdato,Slutdato,amt,Kommune,Region,Adresse_v2,latitudes,longitudes,Stdato,Sldato,Styear,Slyear,dummy,geometry
101,291-1,Christiansfeld Apotek,7,Lindegade 35 C,6070.0,01.06.2008,,1083.0,621.0,1083.0,"Lindegade 35 C, 6070 Denmark",55.3555418,9.484571800000001,2008-01-06,,2008.0,,2008.0,POINT (9.484571800000001 55.3555418)
102,017-3,City 2 Apoteket,7,"Cityringen 4, 218",2630.0,"31Mar2016 0:00:00,000",,1084.0,169.0,1084.0,"Cityringen 4, 218, 2630 Denmark",55.6517,12.2922,2016-03-31,,2016.0,,2016.0,POINT (12.2922 55.6517)
105,207-1,Dianalund Apotek,7,Torvet 5,4293.0,01.11.2008,,1085.0,340.0,1085.0,"Torvet 5, 4293 Denmark",55.526943,11.49729,2008-01-11,,2008.0,,2008.0,POINT (11.49729 55.526943)
106,350-1,Dragør Apotek,7,Maglebytorv 18,2791.0,"01Sep2006 0:00:00,000",,1084.0,155.0,1084.0,"Maglebytorv 18, 2791 Denmark",55.59519,12.660578,2006-09-01,,2006.0,,2008.0,POINT (12.660578 55.59519)
107,326-2,Dronningborg Apotek,7,Skovlyvej 15,8930.0,"24Apr2017 0:00:00,000",,1082.0,730.0,1082.0,"Skovlyvej 15, 8930 Denmark",56.47055,10.050184,2017-04-24,,2017.0,,2017.0,POINT (10.050184 56.47055)
108,316-1,Dronningensvej Apotek,7,"Dronningensvej 5, st. tv.",5800.0,"06Jun2016 0:00:00,000",,1083.0,450.0,1083.0,"Dronningensvej 5, st. tv., 5800 Denmark",55.3127,10.7896,2016-06-06,,2016.0,,2016.0,POINT (10.7896 55.3127)
109,144,Dronninglund Apotek,6,Slotsgade 64,9330.0,01-01-1876 00:00,,1081.0,810.0,1081.0,"Slotsgade 64, 9330 Denmark",57.159268000000004,10.289593,1876-01-01,,1876.0,,2008.0,POINT (10.289593 57.159268)
110,078-2,Dæmningens Apotek,7,Dæmningen 17,7400.0,"06Dec2018 0:00:00,000",,1082.0,657.0,1082.0,"Dæmningen 17, 7400 Denmark",56.13260699999999,8.960486,2018-12-06,,2018.0,,2018.0,POINT (8.960486 56.13260699999999)
111,070,Ebeltoft Apotek,6,Bryggerivej 4,8400.0,01-01-1815 00:00,,1082.0,706.0,1082.0,"Bryggerivej 4, 8400 Denmark",56.199654,10.681064,1815-01-01,,1815.0,,2008.0,POINT (10.681064 56.199654)
112,273-1,Egeris Apotek,7,Kirke Allé 94,7800.0,"04Apr2016 0:00:00,000",,1082.0,779.0,1082.0,"Kirke Allé 94, 7800 Denmark",56.551995,9.029709,2016-04-04,,2016.0,,2016.0,POINT (9.029709 56.551995)
113,122,Egtved Apotek,13,Aftensang 10,6040.0,01-01-1871 00:00,,1083.0,630.0,1083.0,"Aftensang 10, 6040 Denmark",55.61939920000001,9.3069804,1871-01-01,,1871.0,,2008.0,POINT (9.3069804 55.61939920000001)
114,178-3,Egå Apotek,7,Egå Havvej 2H,8250.0,"08Jan2018 0:00:00,000",,1082.0,751.0,1082.0,"Egå Havvej 2H, 8250 Denmark",56.211158999999995,10.279405,2018-01-08,,2018.0,,2018.0,POINT (10.279405 56.21115899999999)
