,Unnamed: 0,ApotekNr,Navn,TypeID,Adresse,PostNr,Startdato,Slutdato,amt,Kommune,Region,Adresse_v2,latitudes,longitudes,dato,year,dummy,Stdato,Sldato,Styear,Slyear,geometry,test
19,19,017-4,Apoteket Frihedens Butikscenter,7,Strandmarksvej 20,2650.0,09Jun2016 0:00:00.000,01Jul2017 0:00:00.000,1084.0,167.0,1084.0,"Strandmarksvej 20, 2650 Denmark",55.626891,12.484661000000001,2016-06-09,2016.0,2016.0,2016-06-09,2017-07-01,2016.0,2017.0,POINT (12.484661 55.626891),0.1342744029403976
20,20,355-3,Apoteket Frihedens Butikscenter,7,Strandmarksvej 20,2650.0,01Jul2017 0:00:00.000,01Oct2018 0:00:00.000,1084.0,167.0,1084.0,"Strandmarksvej 20, 2650 Denmark",55.626891,12.484661000000001,2017-07-01,2017.0,2017.0,2017-07-01,2018-10-01,2017.0,2018.0,POINT (12.484661 55.626891),0.1342744029403976
21,21,364-2,Apoteket Gefion,7,Gefionsvej 45A,3000.0,06Feb2017 0:00:00.000,,1084.0,217.0,1084.0,"Gefionsvej 45A, 3000 Denmark",56.039626,12.587545,2017-02-06,2017.0,2017.0,2017-02-06,,2017.0,,POINT (12.587545 56.039626),0.4488436554569952
22,22,109-1,Apoteket Glostrup Shoppingcenter,7,Glostrup Shoppingcenter 48,2600.0,26Aug2016 0:00:00.000,,1084.0,161.0,1084.0,"Glostrup Shoppingcenter 48, 2600 Denmark",55.665487,12.400572,2016-08-26,2016.0,2016.0,2016-08-26,,2016.0,,POINT (12.400572 55.665487),0.04772806153616529
23,23,013-1,Apoteket Havnegade,7,Havnegade 69,4900.0,01Dec2015 0:00:00.000,,1085.0,360.0,1085.0,"Havnegade 69, 4900 Denmark",54.828858999999994,11.137333,2015-12-01,2015.0,2015.0,2015-12-01,,2015.0,,POINT (11.137333 54.82885899999999),1.4712407396714557
24,24,281-1,Apoteket HerningCentret,7,"Merkurvej 1D,st.109, HerningCentret",7400.0,01Jul2015 0:00:00.000,,1082.0,657.0,1082.0,"Merkurvej 1D,st.109, HerningCentret, 7400 Denmark",56.1393,8.9738,2015-07-01,2015.0,2015.0,2015-07-01,,2015.0,,POINT (8.973800000000001 56.1393),3.414201595222665
25,25,225-2,Apoteket i Ballerup Centret,7,"Ballerup-Centret 2, 1. 3",2750.0,26Oct2015 0:00:00.000,,1084.0,151.0,1084.0,"Ballerup-Centret 2, 1. 3, 2750 Denmark",55.7316,12.3633,2015-10-26,2015.0,2015.0,2015-10-26,,2015.0,,POINT (12.3633 55.7316),0.07569784290849933
26,26,223-2,Apoteket i Fredericia Sundhedshus,7,Dronningensgade 97 A st,7000.0,01Nov2018 0:00:00.000,,1083.0,607.0,1083.0,"Dronningensgade 97 A st, 7000 Denmark",55.5611824,9.76562,2018-11-01,2018.0,2018.0,2018-11-01,,2018.0,,POINT (9.76562 55.5611824),2.589830171957914
27,27,184-1,Apoteket Jernbane Allé,7,Jernbane Allé 31,2720.0,01Jul2019 0:00:00.000,,1084.0,101.0,1084.0,"Jernbane Allé 31, 2720 Denmark",55.686102000000005,12.491235000000001,2019-07-01,2019.0,2019.0,2019-07-01,,2019.0,,POINT (12.491235 55.68610200000001),0.14068653575946988
28,28,327-1,Apoteket Lille Bjørn,7,"Nordens Plads 4A, stuen",2000.0,04Jan2016 0:00:00.000,,1084.0,147.0,1084.0,"Nordens Plads 4A, stuen, 2000 Denmark",55.6794,12.5346,2016-01-04,2016.0,2016.0,2016-01-04,,2016.0,,POINT (12.5346 55.6794),0.18234688925506706
