ApotekNr;Navn;TypeID;Adresse;PostNr;Startdato;Slutdato;amt;Kommune;Region
355-2;Hvidovre Stationsapotek;7;Laurits Olsensvej 1, stuen, dør 30;2650;15Nov2016 0:00:00,000;;1084;167;1084
017-1;Hyrdehøj Apotek;7;Hyrdehøj Alle 5;4000;10Nov2015 0:00:00,000;;1085;265;1085
353-A1;Høje Gladsaxe Torv Apoteksudsalg;8;Høje Gladsaxe Torv 2;2860;30.04.2008;31Dec2010 0:00:00,000;1084;159;
252-2;Høje Taastrup Apotek;7;Høje Taastrup Boulevard 44;2630;31Oct2016 0:00:00,000;;1084;169;1084
252-A1;Høje Tåstrup Apoteksudsalg;8;Høje Taastrup Boulevard 44;2630;01.01.1992;31Oct2016 0:00:00,000;1084;169;1084
299;Højer;6;Højer Kommune;;24-04-1840 00:00;31Mar1989 0:00:00,000;;;
302-A1;Højer Apoteksudsalg;8;Skolegade 8;6280;01Jan2011 0:00:00,000;;1083;550;1083
085;Højreby Hjorte Apotek;6;Hovedgaden 46 A;4920;01-01-1842 00:00;13Oct2001 0:00:00,000;35;;
254;Høng Apotek;6;Centervej 35;4270;01Jan1907 0:00:00,000;;1085;326;1085
060-3;Hørning Apotek filial af Skanderborg Apotek;7;Nørre Allé 38;8362;23Nov2015 0:00:00,000;;1082;746;1082
060-A1;Hørning Apoteksudsalg;8;Nørre Allé 13;8362;01.01.2000;23Nov2015 0:00:00,000;1082;715;1082
079;Hørsholm Apotek;6;Hørsholm Midtpunkt 78;2970;01-01-1840 00:00;;1084;223;1084
298-A1;Høruphav Apoteksudsalg;8;Søndre Landevej 222, Høruphav;6470;01.01.1992;;1083;540;1083
216-A1;Hørve Apoteksudsalg;8;Vallekildevej 3;4534;05.03.2008;02May2014 0:00:00,000;1085;306;1085
024-1;Haarby Apotek;7;Algade 33;5683;01.05.1994;;1083;420;1083
187;Haarby Apotek;6;Algade 33;5683;01Jan1900 0:00:00,000;19Mar2008 0:00:00,000;1083;420;1083
067-1-A2;Haarlev Apoteksudsalg;8;Hovedgaden 10 A;4652;24.07.2010;;1085;336;1085
249;Ikast Apotek;13;Østergade 15;7430;01Jan1914 0:00:00,000;;1082;756;1082
249-1;Ikast Apotek Vest;7;Vestergade 63 ved/Løvbjerg;7430;01Oct2016 0:00:00,000;;1082;756;1082
365-1;Ishøj Apotek;7;Ishøj Nørregade 12, Ishøj Bycenter;2635;01.01.1991;;1084;183;1084
266;Islands Brygge Apotek;6;Islands Brygge 3-5;2300;01Jan1917 0:00:00,000;01Feb2003 0:00:00,000;13;101;
339-1;Islev Apotek;7;Fortvej 5;2610;01Mar2018 0:00:00,000;;1084;175;1084
360-1;Islev Apotek;7;Fortvej 5;2610;03Aug2015 0:00:00,000;01Mar2018 0:00:00,000;1084;175;1084
115-2;Jelling Apotek;7;Gorms Torv 5;7300;01Dec2016 0:00:00,000;;1083;630;1083
115-A1;Jelling Apoteksudsalg;8;Gorms Torv 5;7300;01.01.2000;01Dec2016 0:00:00,000;1083;630;1083
293;Jels Løve;6;Vestergade 4, Rødding;;13-11-1871 00:00;28Feb1979 0:00:00,000;;;
285-3;Jernbane apoteket Perlegade;7;Perlegade 81;6400;15Jul2019 0:00:00,000;;1083;540;1083
169-1;Jernbaneapoteket;7;Sdr. stationsvej 28 K;4200;01Mar2018 0:00:00,000;;1085;330;1085
291-2;Jomfrustiens Apotek;7;Jomfrustien 40;6100;05Dec2016 0:00:00,000;01Apr2019 0:00:00,000;1083;510;1083
248-1;Juelsminde Apoteksfilial;7;Søgade 3;7130;27May2015 0:00:00,000;;1082;766;1082
116;Jyderup Apotek;6;Sølystvej 1;4450;01-01-1870 00:00;;1085;316;1085
170-1;Jyllinge Apotek;7;Jyllinge Center 31;4040;01Dec2001 0:00:00,000;;1085;265;1085
130-A1;Jægerspris Apoteksudsalg;8;Hovedgaden 42 B;3630;01.01.1992;09Apr2018 0:00:00,000;1084;250;1084
130-1;Jægerspris Fasan Apotek;7;Hovedgaden 42B;3630;09Apr2018 0:00:00,000;;1084;250;1084
023;Kalundborg Svane Apotek;6;Elmegade 15;4400;01-01-1753 00:00;;1085;326;1085
067-1;Karise Apotek;7;Syrenvænget 20;4653;01Jul2010 0:00:00,000;;1085;320;1085
083;Karise Apotek;6;Bredgade 26;4653;01-01-1842 00:00;30Jun2010 0:00:00,000;1085;320;1085
210;Karup Apotek;6;Årestrupvej 15;7470;01Jan1903 0:00:00,000;02Jan2006 0:00:00,000;76;769;
246-1;Karup Apotek;7;Herningvej 2;7470;09Jan2006 0:00:00,000;;1082;791;1082
350;Kastrup Apotek;6;Skottegården 2;2770;01Jan1950 0:00:00,000;;1084;185;1084
306-2;Kennedy Apotek;7;"J. F. Kennedy&#39;s Plads 1E st";9000;01Nov2017 0:00:00,000;;1081;851;1081
052;Kerteminde Apotek;6;Langegade 37;5300;01-01-1796 00:00;;1083;440;1083
280;Kibæk;6;Bredgade 11, 6933 Kibæk;;28Jan1919 0:00:00,000;30Sep1997 0:00:00,000;;;
078-A1;Kibæk Apoteksudsalg;8;Nr. Bredgade 11;6933;07.04.2009;;1082;657;1082
354-A1;Kirkebjerg Torv Apoteksudsalg;8;Park Allé 288;2605;17.05.2012;30Nov2015 0:00:00,000;1084;153;1084
112;Kjellerup Apotek;6;Bryggerstræde 5;8620;01-01-1868 00:00;;1082;740;1082
077-1;Klosterparkens Apotek;7;Klosterparks Allé 10;4100;01Sep2015 0:00:00,000;;1085;329;1085
101;Kløver Apoteket Brædstrup;6;Søndergade 32;8740;01-01-1856 00:00;;1082;615;1082
101-1;Kløver Apoteket Østbirk;7;H.C. Andersensvej 2A;8752;01.01.1991;;1082;615;1082
168;Koldby Apotek;6;Algade 18 D;7770;03-07-1877 00:00;30Jun1999 0:00:00,000;76;;
