ApotekNr;Navn;TypeID;Adresse;PostNr;Startdato;Slutdato;amt;Kommune;Region
257;Løkken;6; Løkken- Vrå Kommune;;21-08-1884 00:00;31Jan1976 0:00:00,000;;;
160-1;Løkken Apotek;7;Jyllandsgade 13;9480;01.03.1994;30.06.2012;;;
105-4;Løkken Apotek;7;Jyllandsgade 13;9480;01.09.2013;;1081;860;1081
018-3;Løve Apotek Maribo;7;Lollands Centret 36;4930;04Aug2017 0:00:00,000;;1085;360;1085
018;Løve Apotek Nykøbing F.;6;Langgade 5;4800;01-01-1753 00:00;;1085;376;1085
018-1;Løve Apotek Nysted;7;Adelgade 13;4880;01Jul2013 0:00:00,000;;1085;376;1085
018-2;Løve Apotek Østerbro;7;Vendsysselvej 5 B;4800;16Nov2015 0:00:00,000;;1085;376;1085
015-1;Løve Apoteket Centrum;7;Jyllandsgade 23;7000;01-01-1753 00:00;;1083;607;1083
015;Løve Apoteket Lillebælt Løvbjerg;6;Strevelinsvej 11;7000;19.11.1979;;1083;607;1083
035-2;Løve Apoteket Svendborg Øst;7;Møllergade 92;5700;01Dec2017 0:00:00,000;;1083;479;1083
005-2;Løve Apoteket Vonsildvej;7;Vonsildvej 1 G;6000;01Sep2018 0:00:00,000;;1083;621;1083
092-A1;Løvvang Centret Apoteksudsalg;8;Løvbakken 4;9400;02.08.2012;25Apr2014 0:00:00,000;1081;851;1081
096-2;Malling Apotek;7;Stationspladsen 5G;8340;01Oct2017 0:00:00,000;;1082;751;1082
096-A1;Malling Apoteksudsalg;8;Stationspladsen 5;8340;01.10.1992;01Oct2017 0:00:00,000;1082;751;1082
218-1;Mariager Apotek;7;Østergade 10;9550;12.10.2007;;1081;846;1081
025;Maribo Apotek;6;Vestergade 1;4930;01-01-1753 00:00;;1085;360;1085
025-1;Maribo Torvegades Apotek;7;Torvegade 9;4930;01Mar2018 0:00:00,000;;1085;360;1085
302-3;Marsk Apoteket;7;Plantagevej 38;6270;03Oct2016 0:00:00,000;;1083;550;1083
315;Marstal Apotek;6;Kirkestræde 23;5960;01Jan1902 0:00:00,000;;1083;492;1083
241-3;Mega Syd Apotek;7;Ringvej Syd 100F;8260;03Aug2020 0:00:00,000;;1082;751;
047;Middelfart Apotek;6;Jernbanegade 2C;5500;01-01-1799 00:00;;1083;410;1083
015-3;Middelfart Løve Apotek Kløvervej;7;Kløvervej 10-14;5500;31Aug2018 0:00:00,000;;1083;410;1083
416;Mariager Apotek;6;Falkevej 1;9550;01.01.1970;31.12.2007;1081;846;1081
070-1-A1;Mols Apoteksudsalg;8;Knebel Bygade 21;8420;01.01.1992;;1082;706;1082
052-A1;Munkebo Apoteksudsalg;8;Bycentret 204;5330;01.01.1992;;1083;440;1083
225-1;Maaløv Apotek;7;Stationsvej 7;2760;01.04.2000;;1084;151;1084
241-A2;Mårslet Apoteksudsalg;8;Hørretvej, Mårslet;8320;01.01.2000;11Jun2019 0:00:00,000;1082;751;1082
241-A4;Mårslet Apoteksudsalg;8;Hørretvej 12;8320;01Feb2020 0:00:00,000;;1082;751;1082
013;Nakskov Løve Apotek;6;Nygade 17-19;4900;01-01-1753 00:00;;1085;360;1085
235;Nakskov Nybro;6;Nybrovej 1, Nakskov;;08Sep1911 0:00:00,000;01Jan1995 0:00:00,000;;;
008-1;Neptun Apotek Ribe;7;Seminarievej 1;6760;24Nov2016 0:00:00,000;;1083;561;1083
233-1;Neptun Apotek Sædding;7;Sædding Center;6710;21.03.2014;;1083;561;1083
082;Nexø Apotek;6;Strandgade 7;3730;01-01-1830 00:00;;1084;400;1084
057;Nibe Apotek;13;Mellemgade 9;9240;01-01-1804 00:00;30Sep2013 0:00:00,000;1081;851;1081
181-1;Nibe Apotek;7;Mellemgade 9;9240;01Oct2013 0:00:00,000;;1081;851;1081
152-2;Niels Bohrs Allé Apotek;7;Niels Bohrs Allé 150;5230;29Oct2016 0:00:00,000;;1083;461;1083
196;Nimtofte Apotek;6;Ryomgårdvej 21;8581;01Jan1902 0:00:00,000;28Feb2010 0:00:00,000;1082;706;1082
079-1;Nivå Apotek;7;Nivå Center 75;2990;01.01.1992;;1084;210;1084
297;Nordborg Apotek;6;Storegade 28;6430;01-01-1835 00:00;11Jul2014 0:00:00,000;1083;540;1083
298-1;Nordborg Apotek;7;Storegade 28;6430;01Feb2014 0:00:00,000;;1083;540;1083
278-2;Nordhavn Apotek;7;Århusgade 134 A;2150;27Mar2020 0:00:00,000;;1084;101;1084
189-3;Nr. Aaby Apotek;7;Grønnegade 12;5580;23Oct2017 0:00:00,000;;1083;410;1083
189-A1;Nr. Aaby Apoteksudsalg;8;Østergade 34;5580;01.06.2014;23Oct2017 0:00:00,000;1083;410;1083
316;Nyborg Apotek;6;Kongegade 8;5800;01Jan1924 0:00:00,000;;1083;450;1083
020;Nyborg Løve Apotek;6;;;01Jan1900 0:00:00,000;30Jun1968 0:00:00,000;;;
053-3;Nyholm Apotek;7;Nyholmvej 20 C/o Bilka Holstebro;7500;01Sep2019 0:00:00,000;;1082;661;1082
062;Nykøbing Apotek;6;Algade 20;4500;01-01-1809 00:00;;1085;306;1085
136;Nykøbing F. Svane Apotek;6;Slotsbryggen 1-3;4800;01-01-1882 00:00;;1085;376;1085
335;Nykøbing Falster Østerbro Apotek;6;Østerbrogade 33 , 4800 Nykøbing F.;;12Feb1936 0:00:00,000;30Sep1997 0:00:00,000;;;
314;Nykøbing Mors Sct. Clemens Apotek;6;Algade 3;7900;01Jan1923 0:00:00,000;;1081;773;1081
055;Nykøbing Mors Svane;6;Rådhustorvet 5, Morsø;;25-05-1804 00:00;30Jun1973 0:00:00,000;;;
075;Nysted Apotek;6;Adelgade 13;4880;01-01-1827 00:00;30Jun2013 0:00:00,000;1085;376;1085
138;Nærum Apotek;6;Nærum Vænge Torv 35;2850;01-01-1873 00:00;;1084;230;1084
177-1;Næsby Apotek;7;Bogensevej 49;5270;01Oct2016 0:00:00,000;;1083;461;1083
421;Næsby Apoteksudsalg;6;Bogensevej 49;5270;01.01.2001;28.02.2009;1083;461;1083
177-A2;Næsby Apoteksudsalg;8;Bogensevej 49;5270;30.12.2013;01Oct2016 0:00:00,000;1083;461;1083
012;Næstved Løve Apotek;6;Apotekergaarden, Axeltorv 12;4700;01-01-1753 00:00;;1085;370;1085
188-1;Næstved Sct. Jørgens Apotek;7;Sct. Jørgens Park 34;4700;01.01.1991;;1085;370;1085
012-1;Næstved Storcenter Apotek;7;Næstved Storcenter nr. 3 butik 45;4700;01Nov2015 0:00:00,000;;1085;370;1085
012-A2;Næstved Storcenter Apoteksudsalg;8;Næstved Storcenter;4700;01.01.1992;30Oct2015 0:00:00,000;1085;370;1085
188;Næstved Svane Apotek;6;Torvestræde 8;4700;01Jan1900 0:00:00,000;;1085;370;1085
195;Nørre Alslev Apotek;6;Apotekergade 1;4840;01Jan1902 0:00:00,000;;1085;376;1085
273-2;Nørregades Apotek;7;Nørregade 32 C;7800;05Sep2016 0:00:00,000;;1082;779;1082
124;Nørre-Nebel Apotek;13;Bredgade 12;6830;01Mar2003 0:00:00,000;;1083;573;1083
156-1;Nørre-Snede Apotek;7;Bredgade 22;8766;01Jun2009 0:00:00,000;;1082;756;1082
219;Nørre-Snede Apotek;6;Bredgade 22;8766;01Jan1906 0:00:00,000;01Jun2009 0:00:00,000;1082;756;1082
096;Odder Apotek;6;Rosensgade 14;8300;01-01-1850 00:00;;1082;727;1082
177;Odense Albani Apotek;6;Albanigade 54 F;5000;01-01-1899 00:00;;1083;461;1083
328;Odense Apoteket Bryggergården;6;;;01Jan1931 0:00:00,000;14Jan2014 0:00:00,000;1083;461;1083
282;Odense Apoteket Ørnen;6;Vestergade 80;5000;01Jan1919 0:00:00,000;;1083;461;1083
123;Odense Bellinge Apotek;6;Elmegårdsvej 2;5250;01-01-1871 00:00;;1083;461;1083
357;Odense Bolbro Apotek;13;Middelfartvej 129;5200;01Jan1960 0:00:00,000;;1083;461;1083
345;Odense Dalum Apotek;6;Dalumvej 34;5250;01Jan1938 0:00:00,000;;1083;461;1083
002;Odense Løve Apotek;6;;;01-01-1753 00:00;31Mar1989 0:00:00,000;42;;
151-1;Odense Rosengården Apotek;7;Ørbækvej 75;5220;01.01.1996;;1083;461;1083
198;Odense Sct. Hans Apotek;6;Skibhusvej 66;5000;01Jan1902 0:00:00,000;;1083;461;1083
151;Odense Sct. Knuds Apotek;6;Kongensgade 51;5000;01-01-1889 00:00;;1083;461;1083
049;Odense Svane;6;Ved Graabrødre Hospital, Odense;;25-06-1794 00:00;30Jun1974 0:00:00,000;;;
198-1;Odense Vollsmose Apotek;7;Vollsmose Allé 10, Center Øst;5240;01.01.1992;;1083;461;1083
124-1;Oksbøl Apotek;7;Vestergade 14;6840;22May2017 0:00:00,000;;1083;573;1083
124-A1;Oksbøl Apoteksudsalg;8;Vestergade 14;6840;01.01.1992;30.04.2017;1083;573;1083
325;Ordrup Apotek;6;Ordrupvej 80;2920;01Jan1930 0:00:00,000;;1084;157;1084
121;Otterup Apotek;6;Nørregade 2;5450;01-01-1871 00:00;;1083;480;1083
003-2;Overlund Apotek;7;c/o Løvbjerg, Randersvej 60;8800;18Jun2018 0:00:00,000;;1082;791;1082
301-1;Padborg Apotek;7;Bovvej 9;6330;01.01.1992;;1083;580;1083
011-3;Paderup Løve Apotek;7;Merkurvej 55;8960;28Sep2017 0:00:00,000;;1082;730;1082
105-1;Pandrup Apotek;7;Bredgade 3;9490;01Sep2015 0:00:00,000;;1081;849;1081
105-A3;Pandrup Apoteksudsalg;8;Bredgade 6K;9490;01.01.2001;01Sep2015 0:00:00,000;1081;849;1081
365-2;Plusapoteket Waves;7;Over Bølgen 3 D, Waves;2670;29Oct2015 0:00:00,000;;1085;253;1085
086;Præstø Apotek;6;Svend Gønges Torv 12;4720;01-01-1816 00:00;;1085;390;1085
238-1;Prøvestens Apotek;7;Birkedalsvej 7-9;3000;01Sep2015 0:00:00,000;;1084;217;1084
238-A1;Prøvestenscentrets Apoteksudsalg;8;Birkedalsvej 7;3000;01.10.2001;01Sep2015 0:00:00,000;1084;217;1084
274;Randers Jernbane Apotek;6;Vestertorv 2;8900;01Jan1917 0:00:00,000;;1082;730;1082
171;Randers Krone;6;Adelgade 2, 8900 Randers;;21-12-1898 00:00;31Dec1996 0:00:00,000;;;
011;Randers Løve Apotek;6;Østervold 24;8900;01-01-1753 00:00;;1082;730;1082
326-3;Randers Nord Apotek;7;Mariagervej 175;8920;28Jun2018 0:00:00,000;;1082;730;1082
076;Randers Svane Apotek;6;Middelgade 2;8900;01-01-1831 00:00;30Nov2004 0:00:00,000;70;731;
326;Randers Sønderbros Apotek;6;Dytmærsken 10;8900;01Jan1931 0:00:00,000;;1082;730;1082
008;Ribe Apotek;13;J. Lauritzens Plads 14-16;6760;01-01-1753 00:00;;1083;561;1083
091;Ringe Apotek;13;Torvet 5;5750;01-01-1842 00:00;;1083;430;1083
038;Ringkøbing Løve Apotek;6;Torvegade 5;6950;01-01-1753 00:00;;1082;760;1082
077;Ringsted Apotek;6;Sct. Hansgade 23;4100;01-01-1808 00:00;;1085;329;1085
022-2;Ringsted Svane Apotek;7;Nørregade 13;4100;01Dec2019 0:00:00,000;;1085;329;1085
252-4;Roskilde Apotek - Stationscentret;7;Stationscentret 12;4000;19Oct2016 0:00:00,000;01Apr2019 0:00:00,000;1085;265;1085
017;Roskilde Dom Apotek;6;Algade 51;4000;01-01-1753 00:00;;1085;265;1085
170-4;Roskilde Stations Apotek;7;Stationscentret 12;4000;01Apr2019 0:00:00,000;;1085;265;1085
170;Roskilde Svane Apotek;6;Skomagergade 19;4000;01-01-1898 00:00;;1085;265;1085
143;Roslev Apotek;6;Jernbanegade 15;7870;01-01-1885 00:00;;1082;779;1082
027;Rudkøbing Apotek;6;Engdraget 1;5900;01-01-1753 00:00;;1083;482;1083
254-A1;Ruds-Vedby Apoteksudsalg;8;Rudsgade 10B;4291;01.01.1991;01Nov2002 0:00:00,000;30;303;
079-4;Rungsted Apotek;7;Rungsted Bytorv;2960;14Jan2016 0:00:00,000;;1084;223;1084
079-A2;Rungsted Apoteksudsalg;8;Rungsted Bytorv;2960;01.01.2001;14Jan2016 0:00:00,000;1084;223;1084
060-1;Ry Apotek filial af Skanderborg Apotek;7;Siimtoften 2;8680;02Nov2015 0:00:00,000;;1082;746;1082
060-A2;Ry Apoteksudsalg;8;Siimtoften 2;8680;01.01.2000;30Oct2015 0:00:00,000;1082;737;1082
196-A2;Ryomgård Apoteksudsalg;8;Vestergade 35;8550;02.07.2008;28Feb2010 0:00:00,000;70;721;
197-1;Ryparken Apotek;7;Lyngbyvej 153;2100;30Aug2019 0:00:00,000;;1084;101;1084
081;Rødby Løve Apotek;13;Østergade 51;4970;01-01-1819 00:00;;1085;360;1085
286;Rødding Apotek;6;Kongevej 2;6630;01-01-1839 00:00;;1083;575;1083
287-1;Rødekro Apotek;7;Østergade 6;6230;05Oct2015 0:00:00,000;;1083;580;1083
287-A1;Rødekro Apoteksudsalg;8;Østergade 6;6230;01.05.2011;05Oct2015 0:00:00,000;1083;580;1083
339;Rødovre Apotek;6;Rødovre Centrum 1C, st. 124;2610;01Jan1937 0:00:00,000;;1084;175;1084
354-2;Rødovre Krone Apotek;7;Rødovre Centrum 1R, st. 6;2610;29Aug2016 0:00:00,000;;1084;175;1084
354-A2;Rødovre Stationscenter Apoteksudsalg;8;;;;08Aug2011 0:00:00,000;1084;175;
360-A2;Rødovrevej Apoteksudsalg;8;Fortvej 5;2610;01.01.1994;03Aug2015 0:00:00,000;1084;175;1084
070-2;Rønde Apotek;7;Ceresvej 16-18;8410;07Dec2015 0:00:00,000;;1082;706;1082
070-1-A2;Rønde Apoteksudsalg;8;Ceresvej 16-18;8410;01.01.1992;07Dec2015 0:00:00,000;1082;706;1082
042;Rønne Apotek;6;Store Torvegade 12;3700;01-01-1760 00:00;;1084;400;1084
191-1;Rådhusapoteket Helsinge;7;Frederiksborgvej 20;3200;26Oct2015 0:00:00,000;;1084;270;1084
056;Sakskøbing Apotek;6;Søndergade 9;4990;01-01-1804 00:00;01Dec2017 0:00:00,000;1085;376;1085
013-2;Sakskøbing Løve Apotek;7;Søndergade 11;4990;15Sep2017 0:00:00,000;;1085;376;1085
105-A1;Saltum Apoteksudsalg;8;Tinghøjgade 13;9493;01-01-1857 00:00;01Jun2014 0:00:00,000;1081;849;1081
071;Samsø Apotek;6;Langgade 6, Tranebjerg;8305;01-01-1815 00:00;01Jan2005 0:00:00,000;70;741;
096-1;Samsø Apotek;7;Langgade 6, Tranebjerg;8305;01Jan2005 0:00:00,000;;1082;741;1082
053-2;Sct. Mathias Apotek;7;Sct. Mathias Gade 38, lejemål 202;8800;01Feb2018 0:00:00,000;;1082;791;1082
161-2;Sct. Nicolai Apotek Vest;7;Kvickly Storcenter Vestergade 167;5700;01Sep2016 0:00:00,000;;1083;479;1083
204;Silkeborg Himmelbjerg Apotek;6;Borgergade 20;8600;01Jan1903 0:00:00,000;;1082;740;1082
204-1;Silkeborg Nørrevænget Apotek;7;Viborgvej 16 D;8600;01Mar2018 0:00:00,000;;1082;740;1082
344;Silkeborg Svane Apotek;6;Torvet 9;8600;01Jan1938 0:00:00,000;;1082;740;1082
089;Silkeborg Ørne Apotek;13;Vestergade 9;8600;01-01-1842 00:00;;1082;740;1082
208;Sindal Apotek;6;Vestergade 2 A;9870;31Dec2004 0:00:00,000;31Dec2004 0:00:00,000;80;839;
356-1;Sindal Apotek;7;Vestergade 2 A;9870;01Jan2005 0:00:00,000;;1081;860;1081
212;Skagen Apotek;6;Sct. Laurentiivej 44;9990;01Jan1903 0:00:00,000;;1081;813;1081
063-1;Skalborg Apotek;7;Otto Mønsteds Vej 1;9200;18Aug2018 0:00:00,000;;1081;851;1081
060;Skanderborg Apotek;6;Adelgade 61;8660;01-01-1806 00:00;;1082;746;1082
060-2;Skanderborg Apotek - Filial Bloms;7;Adelgade 61;8660;16Nov2015 0:00:00,000;01Jan2020 0:00:00,000;1082;746;1082
317-1;Skejby Apotek;7;Skelagervej 5;8200;18Jan2016 0:00:00,000;;1082;751;1082
317-A1;Skejby Apoteksudsalg;8;Skejbycentret;8200;01.01.2000;18Jan2016 0:00:00,000;1082;751;1082
130;Skibby Apotek;6;Hovedgaden 40;4050;01-01-1876 00:00;;1084;250;1084
255-2;Skipperen Apotek;7;Vestre Alle 7;9000;01Oct2018 0:00:00,000;;1081;851;1081
053;Skive Løve Apotek;6;Posthustorvet 1A;7800;01-01-1801 00:00;;1082;779;1082
053-1;Skive Løve Apotek City Vest;7;Holstebrovej 68b;7800;02Dec2015 0:00:00,000;;1082;779;1082
273;Skive Svane Apotek;6;Sdr. Boulevard 7;7800;01Jan1917 0:00:00,000;;1082;779;1082
305;Skjern Apotek;13;Bredgade 44B;6900;01Jan1921 0:00:00,000;;1082;760;1082
360;Skovlunde Apotek;6;Torvestrædet 2;2740;01Jan1966 0:00:00,000;;1084;151;1084
058;Skælskør Apotek;6;Algade 21;4230;01-01-1805 00:00;;1085;330;1085
294;Skærbæk Apotek;6;Storegade 43;6780;01-01-1858 00:00;31May2001 0:00:00,000;50;;
295-1;Skærbæk Apotek;7;Storegade 40;6780;01Jun2001 0:00:00,000;;1083;550;1083
220;Skørping Apotek;6;Sverriggårdsvej 10;9520;01Jan1906 0:00:00,000;;1081;840;1081
012-2;Slagelse Løve Apotek;7;Vestsjællandscenteret 10A, Butik 26;4200;14Oct2016 0:00:00,000;;1085;330;1085
169;Slagelse Rådhusapoteket;6;Smedegade 8;4200;01-01-1897 00:00;;1085;330;1085
022;Slagelse Svane Apotek;6;Jernbanegade 7, st. 4;4200;01-01-1753 00:00;;1085;330;1085
068-1;Slangerup Apotek;7;Kongensgade 16;3550;04Jan2016 0:00:00,000;;1084;250;1084
068-A1;Slangerup Apoteksudsalg;8;Kongensgade 14 A;3550;01.01.2000;04Jan2016 0:00:00,000;1084;250;1084
239-1;Slotscentret Apotek;7;Slotsvolden 7, st. 1;4300;12Jun2019 0:00:00,000;;1085;316;1085
361-3;Slotsgade Apotek;7;Slotsgade 8-14;9000;16Nov2018 0:00:00,000;;1081;851;1081
332-1;Sluseholmens Apotek;7;Lone Kellermanns Vej 21 st;2450;19Nov2018 0:00:00,000;;1084;101;1084
225-4;Smørum Apotek;7;Flodvej 75 M;2765;05Sep2016 0:00:00,000;;1084;240;1084
225-A3;Smørum Apoteksudsalg;8;Flodvej 75 L;2765;01Jun2000 0:00:00,000;05Sep2016 0:00:00,000;1084;151;1084
116-A1;Snertinge Apoteksudsalg;8;Nykøbingvej 14;4460;01Dec2002 0:00:00,000;31Mar2006 0:00:00,000;;;
096-A2;Solbjerg Apoteksudsalg;8;Solbjerg Hovedgade 92;8355;01.10.1992;;1082;751;1082
014-1;Solrød Apotek;7;Solrød Center 78;2680;01.01.1992;;1085;269;1085
092-3;Solsidens Apotek;7;Vestergade 30, Butik 2;9400;01Feb2016 0:00:00,000;;1081;851;1081
059-1;Sorgenfri Apotek;7;Sorgenfri Torv 19;2830;06Nov2017 0:00:00,000;;1084;173;1084
059-A1;Sorgenfri Apoteksudsalg;8;Sorgenfri Torv, Grønnevej 8;2830;01Aug2017 0:00:00,000;06Nov2017 0:00:00,000;1084;173;1084
349-A2;Sorgenfri Apoteksudsalg;8;Sorgenfri Torv, Grønnevej 8;2830;01.01.1994;31Jul2017 0:00:00,000;1084;173;1084
007;Sorø Apotek;6;Storgade 19 A;4180;01-01-1753 00:00;;1085;340;1085
028;Stege Apotek;6;Storegade 6;4780;01-01-1753 00:00;;1085;390;1085
207;Stenlille Apotek;6;Hovedgaden 48;4295;01Jan1903 0:00:00,000;;1085;340;1085
369;Stenløse Apotek;13;Egedal Centret 2;3660;01Jun2004 0:00:00,000;;1084;240;1084
068-111;Stenløse Apotek Filial;7;Stenløse Centret 2;3660;01.01.1992;31May2004 0:00:00,000;20;235;
067;Stevns Apotek;6;Nytorv 5;4660;01-01-1815 00:00;;1085;336;1085
352-1;Stjerneapoteket Storcenter Nord;7;Finlandsgade 17;8200;01Jul2015 0:00:00,000;;1082;751;1082
250;Stoholm Apotek;6;Johan Bittmannsvej 2 C;7850;01Jan1914 0:00:00,000;01Sep2018 0:00:00,000;1082;791;1082
273-3;Stoholm Apotek;7;Johan Bittmannsvej 2 C;7850;01Sep2018 0:00:00,000;;1082;791;1082
352-A1;Storcenter Nord Apoteksudsalg;8;Finlandsgade 17;8200;01.05.2000;01Jul2015 0:00:00,000;1082;751;1082
011-A3;Storcenterets Apoteksudsalg;8;Merkurvej 55;8960;23.10.2014;28Sep2017 0:00:00,000;1082;730;1082
176;Storvorde Sejlflod Apotek;13;Rødhøjvej 2;9280;01-01-1899 00:00;;1081;851;1081
047-1;Strib Apotek;7;Sofiendalvej 10;5500;04Jan2016 0:00:00,000;;1083;410;1083
047-A1;Strib Apoteksudsalg;8;Sofiendalvej 10;5500;15Jun2015 0:00:00,000;04Jan2016 0:00:00,000;1082;410;
047-A2;Strib Apoteksudsalg;8;Sofiendalvej 10, Strib;5500;29Jun2015 0:00:00,000;20Nov2015 0:00:00,000;1082;410;
150;Struer Apotek;6;Østergade 11;7600;01-01-1878 00:00;;1082;671;1082
067-2;Strøby Egede Apotek;7;Kystvejen 3B;4600;09Nov2015 0:00:00,000;23Oct2019 0:00:00,000;1085;336;1085
180-2;Strøby Egede Apotek;7;Kystvejen 3B;4600;23Oct2019 0:00:00,000;;1085;336;1085
067-A1;Strøby Egede Apoteksudsalg;8;Kystvejen 3B;4600;01.01.1992;06Nov2015 0:00:00,000;1085;336;1085
065;Stubbekøbing Apotek;6;Vestergade 24 B;4850;01-01-1813 00:00;01Jan2006 0:00:00,000;35;391;
195-1;Stubbekøbing Apotek;7;Torvet 2;4850;01Jan2006 0:00:00,000;;1085;376;1085
220-1;Støvring Apotek;6;Hobrovej 84;9530;01.01.2000;;1081;840;1081
116-A2;Svebølle Apoteksudsalg;8;Centret 4E;4470;01.11.2001;;1085;326;1085
035;Svendborg Løve Apotek;6;Vestergade 16;5700;01-01-1753 00:00;;1083;479;1083
161;Svendborg Sct. Nicolai Apotek;6;Gerritsgade 7;5700;01-01-1896 00:00;;1083;479;1083
361-2;Svenstrup Apotek;7;Godthåbsvej 12;9230;03Sep2018 0:00:00,000;;1081;851;1081
361-A2;Svenstrup Apoteksudsalg;8;Godthåbsvej 12;9230;01.01.1992;03Sep2018 0:00:00,000;1081;851;1081
116-A3;Svinninge Apoteksudsalg;8;Hovedgaden 41;4520;01.01.1991;;1085;316;1085
069;Sæby Apotek;6;Søndergade 7;9300;01-01-1815 00:00;;1081;813;1081
312;Søborg Apotek;6;Søborg Hovedgade 86;2860;01Jan1925 0:00:00,000;;1084;159;1084
013-A2;Søllested Apoteksudsalg;8;Jernbanegade 18;4920;13Oct2001 0:00:00,000;01May2012 0:00:00,000;1085;360;
285;Sønderborg Jernbane Apotek;6;Jernbanegade 10;6400;01-01-1799 00:00;;1083;540;1083
298;Sønderborg Løve Apotek, Center Øst;6;Grundtvigs Allé 179;6400;01-01-1753 00:00;;1083;540;1083
298-2;Sønderborg Løve Apotek, Perlegade;7;Perlegade 28;6400;06Oct2016 0:00:00,000;;1083;540;1083
121-1;Søndersø Apotek;7;Toftekær 2;5471;01Jun2015 0:00:00,000;;1083;480;1083
165;Søndersø Apotek;6;Odensevej 23;5471;01-01-1881 00:00;01Jun2015 0:00:00,000;1083;480;1083
112-1;Søtorvet Apotek;7;Søtorvet 1;8600;25Jul2016 0:00:00,000;;1082;740;1082
098;Tarm Apotek;6;Storegade 27;6880;09-12-1851 00:00;;1082;760;1082
357-1;Tarup Apotek;7;Rugvang 36-40;5210;01.01.1992;;1083;461;1083
099;Terndrup;6;i skibested;;26-07-1854 00:00;30Nov1973 0:00:00,000;;;
218-2;Terndrup Apotek;7;Hadsundvej 7;9575;01Aug2016 0:00:00,000;;1081;840;1081
218-A1;Terndrup Apoteksudsalg;8;Hadsundvej 7;9575;15.01.2012;01Aug2016 0:00:00,000;1081;840;1081
247;Thisted Løve Apotek;6;Sydhavnsvej 11;7700;01Jan1914 0:00:00,000;;1081;787;1081
039;Thisted Svane Apotek;6;Storegade 5;7700;01-01-1753 00:00;;1081;787;1081
064-A1;Thyborøn Apoteksudsalg;8;Bredgade 7;7680;01.01.2000;;1082;665;1082
366-1;Tilst Apotek;7;Agerøvej 7;8381;27Jun2016 0:00:00,000;;1082;751;1082
366-A1;Tilst Apoteksudsalg;8;Agerøvej 7;8381;01.01.2000;26Jun2016 0:00:00,000;1082;751;1082
078-1;Tinghus Apoteket;7;Østergade 13;7400;01Jul2015 0:00:00,000;01Apr2020 0:00:00,000;1082;657;1082
301;Tinglev Apotek;6;Jernbanegade 1;6360;01-01-1897 00:00;;1083;580;1083
295;Toftlund Apotek;6;Søndergade 2;6520;01-12-1876 00:00;;1083;550;1083
123-1;Tommerup Apotek filial af Odense Bellinge Apotek;7;Tallerupvej 15;5690;01Jul2015 0:00:00,000;;1083;420;1083
241-1;Tranbjerg Apotek;7;Kirketorvet 18;8310;04Apr2016 0:00:00,000;;1082;751;1082
241-A3;Tranbjerg Apoteksudsalg;8;Center Syd;8310;01.01.2000;04Apr2016 0:00:00,000;1082;751;1082
170-A1;Trekroner Apoteksudsalg;8;Trekroner Centervej 55;4000;01Aug2008 0:00:00,000;01Jul2015 0:00:00,000;1085;265;1085
170-2;Trekroner Løve Apotek;7;Trekroner Centervej 59-61;4000;01Jul2015 0:00:00,000;;1085;265;1085
370-2;Tune Apotek;7;Tune Center 3B;4030;01Dec2015 0:00:00,000;;1085;253;1085
370-1-A2;Tune Apoteksudsalg;8;Tune Center 3 B;4030;01.01.1992;30Nov2015 0:00:00,000;1085;265;1085
119-1;Tølløse Apotek;7;Vestergade 70;4340;27Mar2017 0:00:00,000;;1085;316;1085
119-A1;Tølløse Apoteksudsalg;8;Jernbanevej 18;4340;27.09.2001;27Mar2017 0:00:00,000;1085;316;1085
302;Tønder Løve Apotek;6;Storegade 28;6270;01-01-1753 00:00;;1083;550;1083
156-2;Tørring Apotek;7;Bredgade 10;7160;01May2016 0:00:00,000;;1082;766;1082
156-A1;Tørring Apoteksudsalg;8;Bredgade 10;7160;24.09.2001;01May2016 0:00:00,000;1082;766;1082
323;Tårnby Apotek;6;Kamillevej 4;2770;01Jan1929 0:00:00,000;;1084;185;1084
323-3;Tårnby Torv Apotek;7;Tårnby Torv 9;2770;01Jun2018 0:00:00,000;;1084;185;1084
323-A2;Tårnby Torv Apoteksudsalg;8;Tårnby Torv 9;2770;01.01.1992;01Jun2018 0:00:00,000;1084;185;1084
252;Taastrup Apotek;6;Taastrup Hovedgade 60;2630;01Jan1908 0:00:00,000;;1084;169;1084
252-3;Taastrup Apotek - City 2;7;City 2, 141 plan 1;2630;11Jan2016 0:00:00,000;10Dec2019 0:00:00,000;1084;169;1084
017-2;Taastrup Torv Apotek;7;Taastrup Torv 8;2630;17Nov2015 0:00:00,000;;1084;169;1084
156;Uldum Apotek;6;Søndergade 18;7171;01-01-1873 00:00;;1082;766;1082
120;Ulfborg Apotek;13;Bredgade 9;6990;01-01-1871 00:00;;1082;661;1082
417;Ullerslev Apoteksudsalg;6;Ullerslev centret;5540;01.01.1992;03.04.2011;1083;450;1083
152-A2;Ullerslev Apoteksudsalg;8;Ullerslev centret;5540;04.04.2011;01Jul2016 0:00:00,000;1083;450;1083
367-1;Ullerød Apotek;7;Frederiksværksgade 115;3400;31Oct2016 0:00:00,000;;1084;219;1084
304;Ulve Apoteket - Kolding Sønderbro;6;Søndergade 7;6000;01Jan1921 0:00:00,000;;1083;621;1083
304-1;Ulve Apoteket - Munkebo;7;Palmealle 2;6000;01Oct2018 0:00:00,000;;1083;621;1083
