TOT_P,GRD_ID,CNTR_CODE,METHD_CL,YEAR,DATA_SRC,TOT_P_CON_DT
610,1kmN3613E4484,DK,A,2011,DK,0
30,1kmN3613E4485,DK,A,2011,DK,0
1591,1kmN3614E4483,DK,A,2011,DK,0
2328,1kmN3614E4484,DK,A,2011,DK,0
311,1kmN3614E4485,DK,A,2011,DK,0
20,1kmN3614E4486,DK,A,2011,DK,0
1368,1kmN3615E4483,DK,A,2011,DK,0
2504,1kmN3615E4484,DK,A,2011,DK,0
2012,1kmN3615E4485,DK,A,2011,DK,0
1108,1kmN3615E4486,DK,A,2011,DK,0
876,1kmN3616E4484,DK,A,2011,DK,0
2068,1kmN3616E4485,DK,A,2011,DK,0
1596,1kmN3616E4486,DK,A,2011,DK,0
5837,1kmN3617E4485,DK,A,2011,DK,0
3971,1kmN3617E4486,DK,A,2011,DK,0
5461,1kmN3617E4487,DK,A,2011,DK,0
84,1kmN3617E4488,DK,A,2011,DK,0
1571,1kmN3618E4487,DK,A,2011,DK,0
4,1kmN3618E4494,DK,A,2011,DK,0
499,1kmN3614E4471,DK,A,2011,DK,0
41,1kmN3614E4472,DK,A,2011,DK,0
2767,1kmN3615E4470,DK,A,2011,DK,0
3641,1kmN3615E4471,DK,A,2011,DK,0
161,1kmN3616E4469,DK,A,2011,DK,0
318,1kmN3616E4470,DK,A,2011,DK,0
1473,1kmN3616E4471,DK,A,2011,DK,0
485,1kmN3617E4469,DK,A,2011,DK,0
104,1kmN3617E4470,DK,A,2011,DK,0
2,1kmN3617E4471,DK,A,2011,DK,0
3326,1kmN3618E4469,DK,A,2011,DK,0
1154,1kmN3618E4470,DK,A,2011,DK,0
336,1kmN3630E4468,DK,A,2011,DK,0
1830,1kmN3630E4472,DK,A,2011,DK,0
14,1kmN3631E4467,DK,A,2011,DK,0
14,1kmN3631E4468,DK,A,2011,DK,0
77,1kmN3631E4469,DK,A,2011,DK,0
78,1kmN3631E4470,DK,A,2011,DK,0
1134,1kmN3631E4471,DK,A,2011,DK,0
298,1kmN3631E4472,DK,A,2011,DK,0
265,1kmN3632E4466,DK,A,2011,DK,0
51,1kmN3632E4468,DK,A,2011,DK,0
779,1kmN3632E4469,DK,A,2011,DK,0
1356,1kmN3632E4470,DK,A,2011,DK,0
163,1kmN3632E4471,DK,A,2011,DK,0
17,1kmN3632E4472,DK,A,2011,DK,0
9,1kmN3632E4473,DK,A,2011,DK,0
639,1kmN3633E4466,DK,A,2011,DK,0
670,1kmN3633E4467,DK,A,2011,DK,0
1704,1kmN3633E4468,DK,A,2011,DK,0
3569,1kmN3633E4469,DK,A,2011,DK,0
1876,1kmN3633E4470,DK,A,2011,DK,0
335,1kmN3633E4471,DK,A,2011,DK,0
336,1kmN3634E4466,DK,A,2011,DK,0
247,1kmN3616E4483,DK,A,2011,DK,0
13,1kmN3617E4481,DK,A,2011,DK,0
5252,1kmN3617E4483,DK,A,2011,DK,0
3558,1kmN3617E4484,DK,A,2011,DK,0
3988,1kmN3618E4478,DK,A,2011,DK,0
937,1kmN3618E4479,DK,A,2011,DK,0
6986,1kmN3618E4480,DK,A,2011,DK,0
2890,1kmN3618E4481,DK,A,2011,DK,0
464,1kmN3618E4483,DK,A,2011,DK,0
3189,1kmN3618E4484,DK,A,2011,DK,0
6975,1kmN3618E4485,DK,A,2011,DK,0
