,ApotekNr,Navn,TypeID,Adresse,PostNr,Startdato,Slutdato,amt,Kommune,Region,Adresse_v2,latitudes,longitudes,dato,year,dummy,Stdato,Sldato,Styear,Slyear
582,366-1,Tilst Apotek,7,Agerøvej 7,8381.0,27Jun2016 0:00:00.000,,1082.0,751.0,1082.0,"Agerøvej 7, 8381 Denmark",56.182396,10.104932,2016-06-27,2016.0,2016.0,2016-06-27,,2016.0,
583,366-A1,Tilst Apoteksudsalg,8,Agerøvej 7,8381.0,,26Jun2016 0:00:00.000,1082.0,751.0,1082.0,"Agerøvej 7, 8381 Denmark",56.182396,10.104932,,,2008.0,,2016-06-26,,2016.0
584,078-1,Tinghus Apoteket,7,Østergade 13,7400.0,01Jul2015 0:00:00.000,01Apr2020 0:00:00.000,1082.0,657.0,1082.0,"Østergade 13, 7400 Denmark",56.136066,8.978051,2015-07-01,2015.0,2015.0,2015-07-01,2020-04-01,2015.0,2020.0
585,301,Tinglev Apotek,6,Jernbanegade 1,6360.0,01-01-1897 00:00,,1083.0,580.0,1083.0,"Jernbanegade 1, 6360 Denmark",54.936593,9.257234,1897-01-01,1897.0,2008.0,1897-01-01,,1897.0,
586,295,Toftlund Apotek,6,Søndergade 2,6520.0,01-12-1876 00:00,,1083.0,550.0,1083.0,"Søndergade 2, 6520 Denmark",55.192502,9.063822,1876-01-12,1876.0,2008.0,1876-01-12,,1876.0,
587,123-1,Tommerup Apotek filial af Odense Bellinge Apotek,7,Tallerupvej 15,5690.0,01Jul2015 0:00:00.000,,1083.0,420.0,1083.0,"Tallerupvej 15, 5690 Denmark",55.348254,10.180457,2015-07-01,2015.0,2015.0,2015-07-01,,2015.0,
588,241-1,Tranbjerg Apotek,7,Kirketorvet 18,8310.0,04Apr2016 0:00:00.000,,1082.0,751.0,1082.0,"Kirketorvet 18, 8310 Denmark",56.090326,10.138172,2016-04-04,2016.0,2016.0,2016-04-04,,2016.0,
589,241-A3,Tranbjerg Apoteksudsalg,8,Center Syd,8310.0,,04Apr2016 0:00:00.000,1082.0,751.0,1082.0,"Center Syd, 8310 Denmark",55.6149203,12.4741258,,,2008.0,,2016-04-04,,2016.0
590,170-A1,Trekroner Apoteksudsalg,8,Trekroner Centervej 55,4000.0,01Aug2008 0:00:00.000,01Jul2015 0:00:00.000,1085.0,265.0,1085.0,"Trekroner Centervej 55, 4000 Denmark",55.648527,12.132192,2008-08-01,2008.0,2008.0,2008-08-01,2015-07-01,2008.0,2015.0
591,170-2,Trekroner Løve Apotek,7,Trekroner Centervej 59-61,4000.0,01Jul2015 0:00:00.000,,1085.0,265.0,1085.0,"Trekroner Centervej 59-61, 4000 Denmark",55.648374,12.1305855,2015-07-01,2015.0,2015.0,2015-07-01,,2015.0,
592,370-2,Tune Apotek,7,Tune Center 3B,4030.0,01Dec2015 0:00:00.000,,1085.0,253.0,1085.0,"Tune Center 3B, 4030 Denmark",55.595661,12.176066,2015-12-01,2015.0,2015.0,2015-12-01,,2015.0,
593,370-1-A2,Tune Apoteksudsalg,8,Tune Center 3 B,4030.0,,30Nov2015 0:00:00.000,1085.0,265.0,1085.0,"Tune Center 3 B, 4030 Denmark",55.5957025,12.1782357,,,2008.0,,2015-11-30,,2015.0
594,119-1,Tølløse Apotek,7,Vestergade 70,4340.0,27Mar2017 0:00:00.000,,1085.0,316.0,1085.0,"Vestergade 70, 4340 Denmark",55.6122248,11.7636274,2017-03-27,2017.0,2017.0,2017-03-27,,2017.0,
595,119-A1,Tølløse Apoteksudsalg,8,Jernbanevej 18,4340.0,,27Mar2017 0:00:00.000,1085.0,316.0,1085.0,"Jernbanevej 18, 4340 Denmark",55.612126,11.772283,,,2008.0,,2017-03-27,,2017.0
596,302,Tønder Løve Apotek,6,Storegade 28,6270.0,01-01-1753 00:00,,1083.0,550.0,1083.0,"Storegade 28, 6270 Denmark",54.935097,8.869037,1753-01-01,1753.0,2008.0,1753-01-01,,1753.0,
597,156-2,Tørring Apotek,7,Bredgade 10,7160.0,01May2016 0:00:00.000,,1082.0,766.0,1082.0,"Bredgade 10, 7160 Denmark",55.85059,9.481601,2016-05-01,2016.0,2016.0,2016-05-01,,2016.0,
598,156-A1,Tørring Apoteksudsalg,8,Bredgade 10,7160.0,,01May2016 0:00:00.000,1082.0,766.0,1082.0,"Bredgade 10, 7160 Denmark",55.85059,9.481601,,,2008.0,,2016-05-01,,2016.0
599,323,Tårnby Apotek,6,Kamillevej 4,2770.0,01Jan1929 0:00:00.000,,1084.0,185.0,1084.0,"Kamillevej 4, 2770 Denmark",55.632714,12.622263,1929-01-01,1929.0,2008.0,1929-01-01,,1929.0,
600,323-3,Tårnby Torv Apotek,7,Tårnby Torv 9,2770.0,01Jun2018 0:00:00.000,,1084.0,185.0,1084.0,"Tårnby Torv 9, 2770 Denmark",55.63076,12.600468,2018-06-01,2018.0,2018.0,2018-06-01,,2018.0,
601,323-A2,Tårnby Torv Apoteksudsalg,8,Tårnby Torv 9,2770.0,,01Jun2018 0:00:00.000,1084.0,185.0,1084.0,"Tårnby Torv 9, 2770 Denmark",55.63076,12.600468,,,2008.0,,2018-06-01,,2018.0
602,252,Taastrup Apotek,6,Taastrup Hovedgade 60,2630.0,01Jan1908 0:00:00.000,,1084.0,169.0,1084.0,"Taastrup Hovedgade 60, 2630 Denmark",55.65025,12.301525,1908-01-01,1908.0,2008.0,1908-01-01,,1908.0,
603,252-3,Taastrup Apotek - City 2,7,"City 2, 141 plan 1",2630.0,11Jan2016 0:00:00.000,10Dec2019 0:00:00.000,1084.0,169.0,1084.0,"City 2, 141 plan 1, 2630 Denmark",55.6517,12.2922,2016-01-11,2016.0,2016.0,2016-01-11,2019-12-10,2016.0,2019.0
604,017-2,Taastrup Torv Apotek,7,Taastrup Torv 8,2630.0,17Nov2015 0:00:00.000,,1084.0,169.0,1084.0,"Taastrup Torv 8, 2630 Denmark",55.651931,12.30245,2015-11-17,2015.0,2015.0,2015-11-17,,2015.0,
605,156,Uldum Apotek,6,Søndergade 18,7171.0,01-01-1873 00:00,,1082.0,766.0,1082.0,"Søndergade 18, 7171 Denmark",55.846443,9.58943,1873-01-01,1873.0,2008.0,1873-01-01,,1873.0,
606,120,Ulfborg Apotek,13,Bredgade 9,6990.0,01-01-1871 00:00,,1082.0,661.0,1082.0,"Bredgade 9, 6990 Denmark",56.272171,8.322184,1871-01-01,1871.0,2008.0,1871-01-01,,1871.0,
607,152-A2,Ullerslev Apoteksudsalg,8,Ullerslev centret,5540.0,,01Jul2016 0:00:00.000,1083.0,450.0,1083.0,"Ullerslev centret, 5540 Denmark",55.3601932,10.6661058,,,2008.0,,2016-07-01,,2016.0
608,367-1,Ullerød Apotek,7,Frederiksværksgade 115,3400.0,31Oct2016 0:00:00.000,,1084.0,219.0,1084.0,"Frederiksværksgade 115, 3400 Denmark",55.9359546,12.2922046,2016-10-31,2016.0,2016.0,2016-10-31,,2016.0,
609,304,Ulve Apoteket - Kolding Sønderbro,6,Søndergade 7,6000.0,01Jan1921 0:00:00.000,,1083.0,621.0,1083.0,"Søndergade 7, 6000 Denmark",55.4884032,9.4731474,1921-01-01,1921.0,2008.0,1921-01-01,,1921.0,
610,304-1,Ulve Apoteket - Munkebo,7,Palmealle 2,6000.0,01Oct2018 0:00:00.000,,1083.0,621.0,1083.0,"Palmealle 2, 6000 Denmark",55.501303,9.456505,2018-10-01,2018.0,2018.0,2018-10-01,,2018.0,
611,197-A1,Valby Langgade Apoteksudsalg,8,Valby Langgade 195 A,2500.0,,01Jun2011 0:00:00.000,,,,"Valby Langgade 195 A, 2500 Denmark",55.666019,12.5080019,,,2008.0,,2011-06-01,,2011.0
612,310-A1,Valby Langgade Apoteksudsalg,8,Valby Langgade 195 A,2500.0,,31May2004 0:00:00.000,13.0,101.0,,"Valby Langgade 195 A, 2500 Denmark",55.666019,12.5080019,,,2008.0,,2004-05-31,,2004.0
613,195-2,Valdemarsgade Apotek,7,Valdemarsgade 69,4760.0,15Feb2016 0:00:00.000,,1085.0,390.0,1085.0,"Valdemarsgade 69, 4760 Denmark",55.010835,11.912671,2016-02-15,2016.0,2016.0,2016-02-15,,2016.0,
614,355-4,Vallensbæk Apotek,7,Vallensbæk Stationstorv 60,2665.0,01Apr2020 0:00:00.000,,1084.0,187.0,1084.0,"Vallensbæk Stationstorv 60, 2665 Denmark",55.62323,12.388825,2020-04-01,2020.0,2020.0,2020-04-01,,2020.0,
615,359-1,Vallensbæk Apotek,7,Vallensbæk Stationstorv 60,2665.0,,01Apr2020 0:00:00.000,1084.0,187.0,1084.0,"Vallensbæk Stationstorv 60, 2665 Denmark",55.62323,12.388825,,,2008.0,,2020-04-01,,2020.0
616,155,Vamdrup Apotek,6,Søndergade 18,6580.0,01-01-1894 00:00,01Jul2008 0:00:00.000,1083.0,621.0,1083.0,"Søndergade 18, 6580 Denmark",55.424615,9.280116,1894-01-01,1894.0,2008.0,1894-01-01,2008-07-01,1894.0,2008.0
617,286-2,Vamdrup Apotek,7,Torvet 6,6580.0,,,1083.0,621.0,1083.0,"Torvet 6, 6580 Denmark",55.425942,9.283247,,,2008.0,,,,
618,215-A1,Vangede Apoteksudsalg,8,Vangede Bygade 77,2820.0,,,1084.0,157.0,1084.0,"Vangede Bygade 77, 2820 Denmark",55.749743,12.518418,,,2008.0,,,,
619,343,Vanløse Løve Apotek,6,"Vanløse Torv 1, st. 123",2720.0,01Jan1937 0:00:00.000,,1084.0,101.0,1084.0,"Vanløse Torv 1, st. 123, 2720 Denmark",55.6836,12.4871,1937-01-01,1937.0,2008.0,1937-01-01,,1937.0,
620,051,Varde Apotek,6,Vestergade 3,6800.0,01-01-1800 00:00,,1083.0,573.0,1083.0,"Vestergade 3, 6800 Denmark",55.620822,8.47965,1800-01-01,1800.0,2008.0,1800-01-01,,1800.0,
621,051-1,Varde Østervold Apotek,7,Østervold 5,6800.0,20Feb2017 0:00:00.000,,1083.0,573.0,1083.0,"Østervold 5, 6800 Denmark",55.62373,8.482689,2017-02-20,2017.0,2017.0,2017-02-20,,2017.0,
622,200,Vejen Apotek,6,Mindevej 1,6600.0,01Jan1906 0:00:00.000,,1083.0,575.0,1083.0,"Mindevej 1, 6600 Denmark",55.474884,9.138007,1906-01-01,1906.0,2008.0,1906-01-01,,1906.0,
623,200-1,Vejen Trolde Apotek,7,Rådhuspassagen 1,6600.0,17Aug2017 0:00:00.000,,1083.0,575.0,1083.0,"Rådhuspassagen 1, 6600 Denmark",55.476882,9.137087,2017-08-17,2017.0,2017.0,2017-08-17,,2017.0,
624,306-A1,Vejgaard apoteksudsalg - Fyrkilden,8,"Fyrkildevej 7, stuen",9220.0,,01Jul2015 0:00:00.000,1081.0,851.0,1081.0,"Fyrkildevej 7, stuen, 9220 Denmark",56.9733,9.9233,,,2008.0,,2015-07-01,,2015.0
