VAR1,ApotekNr,Navn,TypeID,Adresse,PostNr,Startdato,Slutdato,amt,Kommune,Region,Adresse_v2,latitudes,longitudes,Stdato,Sldato,Styear,Slyear,dummy,geometry,Year,GNS_OMS,GNS_MED_PROFIT,ALDER,d65,d17,samlet_ind,Besk,Besk1864,DK,Befolkning,markedsvaerdix,yderkom
225,238,Helsingør Stengades,6,Stengade 46,3000,"01Jan1912 0:00:00,000",,1084,217,1084,"Stengade 46, 3000 Denmark",56.0356385,12.6154715,1912-01-01,,1912,2025,2008,POINT (12.6154715 56.0356385),2014,21696073.462,6721367.97,42.90,0.2205996885,0.2079926012,190086.35056,0.4704753541,0.7391230117,0.8798360736,61632,1461531.1643,0
257,113-1,Hornbæk Apotek,7,Sauntevej 2,3100,01.01.1992,,1084,217,1084,"Sauntevej 2, 3100 Denmark",56.0806998,12.4792214,1992-01-01,,1992,2025,2008,POINT (12.4792214 56.0806998),2014,21696073.462,6721367.97,42.90,0.2205996885,0.2079926012,190086.35056,0.4704753541,0.7391230117,0.8798360736,61632,1461531.1643,0
234,044,Hillerød Frederiksbo,6,Slotsgade 26,3400,01-01-1792 00:00,,1084,219,1084,"Slotsgade 26, 3400 Denmark",55.930404,12.299802,1792-01-01,,1792,2025,2008,POINT (12.299802 55.930404),2014,,,40.22,0.1808259347,0.2327115745,206186.68511,0.5073578937,0.7869645405,0.8952342076,49108,1498668.5782,0
235,367,Hillerød Krone Apote,6,Helsingørsgade 10,3400,"01Jan1998 0:00:00,000",,1084,219,1084,"Helsingørsgade 10, 3400 Denmark",55.9303626,12.3050612,1998-01-01,,1998,2025,2008,POINT (12.3050612 55.9303626),2014,,,40.22,0.1808259347,0.2327115745,206186.68511,0.5073578937,0.7869645405,0.8952342076,49108,1498668.5782,0
294,079,Hørsholm Apotek,6,Hørsholm Midtpunkt 78,2970,01-01-1840 00:00,,1084,223,1084,"Hørsholm Midtpunkt 78, 2970 Denmark",55.882527,12.49756,1840-01-01,,1840,2025,2008,POINT (12.49756 55.882527),2014,,,44.84,0.2641615706,0.2149983907,274799.91913,0.4720351627,0.7834276413,0.9014073148,24856,2480943.4892,0
71,346,Birkerød Apotek,6,Teglporten 27,3460,"01Jan1938 0:00:00,000",,1084,230,1084,"Teglporten 27, 3460 Denmark",55.838563,12.431699,1938-01-01,,1938,2025,2008,POINT (12.431699 55.838563),2014,23357424.4,7324288.4,42.46,0.2238054869,0.2333471618,282992.27299,0.4803038524,0.7864692741,0.8898715862,55441,2469928.4165,0
255,283,Holte Apotek,6,"Holte Midtpunkt 20, 1. sal",2840,"01Jan1919 0:00:00,000",,1084,230,1084,"Holte Midtpunkt 20, 1. sal, 2840 Denmark",55.811887,12.471571,1919-01-01,,1919,2025,2008,POINT (12.471571 55.811887),2014,23357424.4,7324288.4,42.46,0.2238054869,0.2333471618,282992.27299,0.4803038524,0.7864692741,0.8898715862,55441,2469928.4165,0
494,138,Nærum Apotek,6,Nærum Vænge Torv 35,2850,01-01-1873 00:00,,1084,230,1084,"Nærum Vænge Torv 35, 2850 Denmark",55.816,12.5385,1873-01-01,,1873,2025,2008,POINT (12.5385 55.816),2014,23357424.4,7324288.4,42.46,0.2238054869,0.2333471618,282992.27299,0.4803038524,0.7864692741,0.8898715862,55441,2469928.4165,0
620,369,Stenløse Apotek,13,Egedal Centret 2,3660,"01Jun2004 0:00:00,000",,1084,240,1084,"Egedal Centret 2, 3660 Denmark",55.76822,12.194889,2004-06-01,,2004,2025,2008,POINT (12.194889 55.76822),2014,,,39.78,0.1789631926,0.2506048434,217419.11517,0.5158778698,0.8269904754,0.9254798645,42573,1465969.1662,0
157,068,Frederikssund Apotek,6,"Nygade 1, 1. sal 18",3600,01-01-1815 00:00,,1084,250,1084,"Nygade 1, 1. sal 18, 3600 Denmark",55.836515,12.06505,1815-01-01,,1815,2025,2008,POINT (12.06505 55.836515),2014,,,42.65,0.2165582149,0.2155449981,188837.81489,0.485988051,0.7742242679,0.9335362417,44413,1036534.212,0
